#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   122.46 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,    -1.000000E+00,    -2.751178E-04,    -2.555059E-06,     5.003101E-06,     2.234730E-06,     8.829878E-07,     3.373650E-07,     9.209753E-08,    -4.037422E-08,    -1.245934E-07,    -1.836488E-07,
  5.000000E-01,    -1.000000E+00,    -1.975571E-03,     2.371454E-04,     1.582402E-04,     7.491737E-05,     3.703493E-05,     1.931282E-05,     1.003649E-05,     4.635239E-06,     1.231007E-06,    -1.028432E-06,
  1.000000E+00,    -1.000000E+00,    -4.947067E-03,     4.019306E-04,     2.973851E-04,     1.426288E-04,     7.085440E-05,     3.703410E-05,     1.924961E-05,     8.859956E-06,     2.296840E-06,    -2.065431E-06,
  1.500000E+00,    -1.000000E+00,    -1.013947E-02,     4.267676E-04,     4.100597E-04,     2.009358E-04,     1.002407E-04,     5.236565E-05,     2.706812E-05,     1.222555E-05,     2.812255E-06,    -3.465377E-06,
  2.000000E+00,    -1.000000E+00,    -1.854865E-02,     2.504341E-04,     4.852734E-04,     2.458887E-04,     1.232892E-04,     6.426320E-05,     3.287587E-05,     1.434991E-05,     2.531760E-06,    -5.390000E-06,
  2.500000E+00,    -1.000000E+00,    -3.131369E-02,    -1.859296E-04,     5.137665E-04,     2.741736E-04,     1.383549E-04,     7.180364E-05,     3.611921E-05,     1.488577E-05,     1.230350E-06,    -7.988503E-06,
  3.000000E+00,    -1.000000E+00,    -4.979701E-02,    -9.426510E-04,     4.881275E-04,     2.832266E-04,     1.441073E-04,     7.421171E-05,     3.632139E-05,     1.352893E-05,    -1.291452E-06,    -1.139430E-05,
  3.500000E+00,    -1.000000E+00,    -7.560856E-02,    -2.087775E-03,     4.026461E-04,     2.712969E-04,     1.395698E-04,     7.088156E-05,     3.309453E-05,     1.002536E-05,    -5.203149E-06,    -1.572210E-05,
  4.000000E+00,    -1.000000E+00,    -1.105318E-01,    -3.705608E-03,     2.528875E-04,     2.374530E-04,     1.241419E-04,     6.139156E-05,     2.614887E-05,     4.176992E-06,    -1.064059E-05,    -2.106551E-05,
  4.500000E+00,    -1.000000E+00,    -1.563061E-01,    -5.907409E-03,     3.499648E-05,     1.815306E-04,     9.760309E-05,     4.551187E-05,     1.529850E-05,    -4.154317E-06,    -1.770323E-05,    -2.749509E-05,
  5.000000E+00,    -1.000000E+00,    -2.142297E-01,    -8.844118E-03,    -2.552521E-04,     1.040284E-04,     6.009904E-05,     2.320446E-05,     4.637327E-07,    -1.504451E-05,    -2.645234E-05,    -3.505708E-05,
  5.500000E+00,    -1.000000E+00,    -2.845973E-01,    -1.272110E-02,    -6.236382E-04,     5.954138E-06,     1.211034E-05,    -5.384064E-06,    -1.833019E-05,    -2.850696E-05,    -3.691027E-05,    -4.377265E-05,
  6.000000E+00,    -1.000000E+00,    -3.660900E-01,    -1.781487E-02,    -1.078910E-03,    -1.113678E-04,    -4.559259E-05,    -3.993639E-05,    -4.095766E-05,    -4.449389E-05,    -4.906079E-05,    -5.363781E-05,
  6.500000E+00,    -1.000000E+00,    -4.553935E-01,    -2.449154E-02,    -1.634433E-03,    -2.465209E-04,    -1.120064E-04,    -7.998405E-05,    -6.720033E-05,    -6.289956E-05,    -6.285036E-05,    -6.462396E-05,
  7.000000E+00,    -1.000000E+00,    -5.474010E-01,    -3.322646E-02,    -2.310115E-03,    -3.982461E-04,    -1.859601E-04,    -1.249316E-04,    -9.675741E-05,    -8.356488E-05,    -7.819034E-05,    -7.667893E-05,
  7.500000E+00,    -1.000000E+00,    -6.361835E-01,    -4.462312E-02,    -3.134666E-03,    -5.657108E-04,    -2.661857E-04,    -1.740843E-04,    -1.292581E-04,    -1.062834E-04,    -9.496008E-05,    -8.972860E-05,
  8.000000E+00,    -1.000000E+00,    -7.164401E-01,    -5.942819E-02,    -4.148287E-03,    -7.487975E-04,    -3.513911E-04,    -2.266773E-04,    -1.642754E-04,    -1.308086E-04,    -1.130106E-04,    -1.036790E-04,
  8.500000E+00,    -1.000000E+00,    -7.847277E-01,    -7.853627E-02,    -5.405938E-03,    -9.484132E-04,    -4.403326E-04,    -2.819067E-04,    -2.013415E-04,    -1.568614E-04,    -1.321692E-04,    -1.184188E-04,
  9.000000E+00,    -1.000000E+00,    -8.398832E-01,    -1.029744E-01,    -6.981332E-03,    -1.166829E-03,    -5.318862E-04,    -3.389584E-04,    -2.399625E-04,    -1.841388E-04,    -1.522437E-04,    -1.338221E-04,
  9.500000E+00,    -1.000000E+00,    -8.826194E-01,    -1.338517E-01,    -8.971881E-03,    -1.408059E-03,    -6.251154E-04,    -3.970377E-04,    -2.796341E-04,    -2.123224E-04,    -1.730280E-04,    -1.497514E-04,
  1.000000E+01,    -1.000000E+00,    -9.147291E-01,    -1.722552E-01,    -1.150480E-02,    -1.678306E-03,    -7.193360E-04,    -4.553946E-04,    -3.198559E-04,    -2.410871E-04,    -1.943069E-04,    -1.660608E-04,
  1.050000E+01,    -1.000000E+00,    -9.383500E-01,    -2.190747E-01,    -1.474467E-02,    -1.986492E-03,    -8.141793E-04,    -5.133474E-04,    -3.601451E-04,    -2.701090E-04,    -2.158615E-04,    -1.825996E-04,
  1.100000E+01,    -1.000000E+00,    -9.554967E-01,    -2.747508E-01,    -1.890255E-02,    -2.344903E-03,    -9.096544E-04,    -5.703028E-04,    -4.000482E-04,    -2.990735E-04,    -2.374739E-04,    -1.992148E-04,
  1.150000E+01,    -1.000000E+00,    -9.678523E-01,    -3.389735E-01,    -2.424701E-02,    -2.770013E-03,    -1.006214E-03,    -6.257730E-04,    -4.391514E-04,    -3.276818E-04,    -2.589320E-04,    -2.157548E-04,
  1.200000E+01,    -1.000000E+00,    -9.767278E-01,    -4.104096E-01,    -3.111673E-02,    -3.283507E-03,    -1.104827E-03,    -6.793888E-04,    -4.770890E-04,    -3.556576E-04,    -2.800336E-04,    -2.320723E-04,
