#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  #Execution time =   120.49 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     9.999999E-01,     2.628252E+00,     2.637171E+00,     2.646280E+00,     2.653950E+00,     2.660713E+00,     2.666861E+00,     2.672537E+00,     2.677830E+00,     2.682806E+00,     2.687516E+00,
  5.000000E-01,     9.999999E-01,     2.626463E+00,     2.637168E+00,     2.646380E+00,     2.654045E+00,     2.660790E+00,     2.666920E+00,     2.672581E+00,     2.677863E+00,     2.682831E+00,     2.687534E+00,
  1.000000E+00,     9.999999E-01,     2.622368E+00,     2.637265E+00,     2.646698E+00,     2.654339E+00,     2.661033E+00,     2.667117E+00,     2.672741E+00,     2.677993E+00,     2.682937E+00,     2.687621E+00,
  1.500000E+00,     9.999999E-01,     2.616346E+00,     2.637505E+00,     2.647229E+00,     2.654824E+00,     2.661435E+00,     2.667445E+00,     2.673009E+00,     2.678214E+00,     2.683120E+00,     2.687774E+00,
  2.000000E+00,     9.999999E-01,     2.608453E+00,     2.637950E+00,     2.647973E+00,     2.655492E+00,     2.661988E+00,     2.667897E+00,     2.673380E+00,     2.678520E+00,     2.683376E+00,     2.687989E+00,
  2.500000E+00,     9.999999E-01,     2.597828E+00,     2.638668E+00,     2.648931E+00,     2.656335E+00,     2.662684E+00,     2.668467E+00,     2.673848E+00,     2.678908E+00,     2.683700E+00,     2.688262E+00,
  3.000000E+00,     9.999999E-01,     2.581998E+00,     2.639712E+00,     2.650100E+00,     2.657341E+00,     2.663512E+00,     2.669145E+00,     2.674407E+00,     2.679373E+00,     2.684089E+00,     2.688591E+00,
  3.500000E+00,     9.999999E-01,     2.556026E+00,     2.641111E+00,     2.651470E+00,     2.658496E+00,     2.664460E+00,     2.669922E+00,     2.675048E+00,     2.679907E+00,     2.684538E+00,     2.688971E+00,
  4.000000E+00,     9.999999E-01,     2.511547E+00,     2.642857E+00,     2.653028E+00,     2.659786E+00,     2.665514E+00,     2.670787E+00,     2.675764E+00,     2.680504E+00,     2.685041E+00,     2.689398E+00,
  4.500000E+00,     9.999999E-01,     2.436141E+00,     2.644899E+00,     2.654752E+00,     2.661190E+00,     2.666659E+00,     2.671728E+00,     2.676544E+00,     2.681157E+00,     2.685592E+00,     2.689866E+00,
