#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   137.28 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     1.921967E+00,     1.917485E+00,     1.908787E+00,     1.903235E+00,     1.899815E+00,     1.897589E+00,     1.896046E+00,     1.894920E+00,     1.894064E+00,     1.893394E+00,
  5.000000E-01,     1.000000E+00,     1.915793E+00,     1.916766E+00,     1.908538E+00,     1.903106E+00,     1.899736E+00,     1.897536E+00,     1.896009E+00,     1.894893E+00,     1.894043E+00,     1.893378E+00,
  1.000000E+00,     1.000000E+00,     1.902657E+00,     1.914867E+00,     1.907864E+00,     1.902757E+00,     1.899522E+00,     1.897392E+00,     1.895907E+00,     1.894817E+00,     1.893986E+00,     1.893333E+00,
  1.500000E+00,     1.000000E+00,     1.882746E+00,     1.911851E+00,     1.906786E+00,     1.902195E+00,     1.899176E+00,     1.897160E+00,     1.895742E+00,     1.894696E+00,     1.893894E+00,     1.893261E+00,
  2.000000E+00,     1.000000E+00,     1.855985E+00,     1.907797E+00,     1.905333E+00,     1.901434E+00,     1.898706E+00,     1.896843E+00,     1.895517E+00,     1.894529E+00,     1.893767E+00,     1.893162E+00,
  2.500000E+00,     1.000000E+00,     1.821944E+00,     1.902786E+00,     1.903544E+00,     1.900492E+00,     1.898121E+00,     1.896447E+00,     1.895234E+00,     1.894320E+00,     1.893607E+00,     1.893038E+00,
  3.000000E+00,     1.000000E+00,     1.779915E+00,     1.896886E+00,     1.901462E+00,     1.899389E+00,     1.897431E+00,     1.895978E+00,     1.894898E+00,     1.894070E+00,     1.893416E+00,     1.892889E+00,
  3.500000E+00,     1.000000E+00,     1.729159E+00,     1.890126E+00,     1.899135E+00,     1.898149E+00,     1.896649E+00,     1.895443E+00,     1.894513E+00,     1.893783E+00,     1.893196E+00,     1.892717E+00,
  4.000000E+00,     1.000000E+00,     1.669315E+00,     1.882485E+00,     1.896605E+00,     1.896797E+00,     1.895788E+00,     1.894850E+00,     1.894084E+00,     1.893461E+00,     1.892950E+00,     1.892523E+00,
  4.500000E+00,     1.000000E+00,     1.600893E+00,     1.873870E+00,     1.893914E+00,     1.895357E+00,     1.894864E+00,     1.894207E+00,     1.893616E+00,     1.893110E+00,     1.892679E+00,     1.892310E+00,
  5.000000E+00,     1.000000E+00,     1.525703E+00,     1.864103E+00,     1.891096E+00,     1.893856E+00,     1.893890E+00,     1.893525E+00,     1.893117E+00,     1.892732E+00,     1.892387E+00,     1.892080E+00,
  5.500000E+00,     1.000000E+00,     1.446967E+00,     1.852905E+00,     1.888171E+00,     1.892318E+00,     1.892883E+00,     1.892812E+00,     1.892590E+00,     1.892333E+00,     1.892076E+00,     1.891834E+00,
  6.000000E+00,     1.000000E+00,     1.368921E+00,     1.839883E+00,     1.885152E+00,     1.890766E+00,     1.891857E+00,     1.892078E+00,     1.892044E+00,     1.891915E+00,     1.891750E+00,     1.891575E+00,
