alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  Execution time =    21.40 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     9.999997E-01,     7.326238E+00,     7.335127E+00,     7.321685E+00,     7.305727E+00,     7.290300E+00,     7.275669E+00,     7.261783E+00,     7.248571E+00,     7.235968E+00,     7.223904E+00,
  5.000000E-01,     9.999997E-01,     7.325597E+00,     7.335023E+00,     7.321622E+00,     7.305674E+00,     7.290251E+00,     7.275623E+00,     7.261740E+00,     7.248530E+00,     7.235929E+00,     7.223866E+00,
  1.000000E+00,     9.999997E-01,     7.324076E+00,     7.334922E+00,     7.321593E+00,     7.305656E+00,     7.290235E+00,     7.275608E+00,     7.261726E+00,     7.248517E+00,     7.235917E+00,     7.223854E+00,
  1.500000E+00,     9.999997E-01,     7.320943E+00,     7.334784E+00,     7.321563E+00,     7.305643E+00,     7.290225E+00,     7.275599E+00,     7.261717E+00,     7.248508E+00,     7.235909E+00,     7.223846E+00,
  2.000000E+00,     9.999997E-01,     7.314569E+00,     7.334599E+00,     7.321527E+00,     7.305629E+00,     7.290214E+00,     7.275589E+00,     7.261707E+00,     7.248500E+00,     7.235900E+00,     7.223838E+00,
  2.500000E+00,     9.999997E-01,     7.301380E+00,     7.334365E+00,     7.321481E+00,     7.305612E+00,     7.290200E+00,     7.275576E+00,     7.261696E+00,     7.248489E+00,     7.235890E+00,     7.223828E+00,
  3.000000E+00,     9.999997E-01,     7.273805E+00,     7.334078E+00,     7.321425E+00,     7.305591E+00,     7.290185E+00,     7.275562E+00,     7.261682E+00,     7.248476E+00,     7.235878E+00,     7.223816E+00,
  3.500000E+00,     9.999997E-01,     7.216260E+00,     7.333734E+00,     7.321358E+00,     7.305567E+00,     7.290166E+00,     7.275545E+00,     7.261667E+00,     7.248461E+00,     7.235864E+00,     7.223802E+00,
  4.000000E+00,     9.999997E-01,     7.097999E+00,     7.333326E+00,     7.321280E+00,     7.305539E+00,     7.290145E+00,     7.275526E+00,     7.261648E+00,     7.248444E+00,     7.235847E+00,     7.223786E+00,
  4.500000E+00,     9.999997E-01,     6.862760E+00,     7.332837E+00,     7.321191E+00,     7.305507E+00,     7.290121E+00,     7.275504E+00,     7.261628E+00,     7.248425E+00,     7.235829E+00,     7.223768E+00,
  5.000000E+00,     9.999997E-01,     6.422244E+00,     7.332238E+00,     7.321090E+00,     7.305471E+00,     7.290094E+00,     7.275479E+00,     7.261605E+00,     7.248403E+00,     7.235808E+00,     7.223748E+00,
  5.500000E+00,     9.999997E-01,     5.680037E+00,     7.331473E+00,     7.320976E+00,     7.305431E+00,     7.290064E+00,     7.275452E+00,     7.261580E+00,     7.248380E+00,     7.235786E+00,     7.223726E+00,
  6.000000E+00,     9.999997E-01,     4.626480E+00,     7.330425E+00,     7.320848E+00,     7.305387E+00,     7.290032E+00,     7.275423E+00,     7.261552E+00,     7.248354E+00,     7.235761E+00,     7.223702E+00,
  6.500000E+00,     9.999997E-01,     3.453354E+00,     7.328857E+00,     7.320705E+00,     7.305339E+00,     7.289997E+00,     7.275391E+00,     7.261523E+00,     7.248326E+00,     7.235734E+00,     7.223677E+00,
  7.000000E+00,     9.999997E-01,     2.466419E+00,     7.326277E+00,     7.320547E+00,     7.305286E+00,     7.289959E+00,     7.275357E+00,     7.261491E+00,     7.248296E+00,     7.235705E+00,     7.223650E+00,
  7.500000E+00,     9.999997E-01,     1.820482E+00,     7.321672E+00,     7.320372E+00,     7.305229E+00,     7.289919E+00,     7.275320E+00,     7.261456E+00,     7.248263E+00,     7.235674E+00,     7.223620E+00,
  8.000000E+00,     9.999997E-01,     1.460220E+00,     7.312947E+00,     7.320179E+00,     7.305168E+00,     7.289876E+00,     7.275282E+00,     7.261420E+00,     7.248229E+00,     7.235641E+00,     7.223590E+00,
  8.500000E+00,     9.999997E-01,     1.269259E+00,     7.295794E+00,     7.319965E+00,     7.305102E+00,     7.289830E+00,     7.275240E+00,     7.261381E+00,     7.248192E+00,     7.235606E+00,     7.223558E+00,
  9.000000E+00,     9.999997E-01,     1.165723E+00,     7.261418E+00,     7.319727E+00,     7.305031E+00,     7.289782E+00,     7.275197E+00,     7.261340E+00,     7.248154E+00,     7.235569E+00,     7.223524E+00,
  9.500000E+00,     9.999997E-01,     1.106680E+00,     7.192182E+00,     7.319461E+00,     7.304954E+00,     7.289731E+00,     7.275151E+00,     7.261297E+00,     7.248113E+00,     7.235530E+00,     7.223490E+00,
  1.000000E+01,     9.999997E-01,     1.071192E+00,     7.054027E+00,     7.319157E+00,     7.304872E+00,     7.289677E+00,     7.275102E+00,     7.261252E+00,     7.248070E+00,     7.235489E+00,     7.223455E+00,
