#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   119.66 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.907620E-16,    -6.507621E-16,    -1.206132E-16,    -7.925621E-16,     8.398473E-16,    -1.801920E-16,     8.563672E-16,    -3.208054E-16,     2.900502E-16,    -9.035043E-16,    -3.964885E-16,
  5.000000E-01,     1.907620E-16,    -2.464447E-15,     5.785130E-16,     1.760545E-15,    -1.136122E-15,    -1.668003E-16,     2.270612E-15,     1.324941E-15,     2.650287E-16,    -7.436299E-16,    -1.678315E-16,
  1.000000E+00,     1.907620E-16,    -4.853463E-15,    -2.933873E-16,    -1.407823E-15,     4.781094E-16,     1.522111E-15,    -1.101799E-15,     1.335277E-15,     1.127390E-15,    -2.550296E-15,    -5.011669E-16,
  1.500000E+00,     1.907620E-16,    -1.903336E-15,     1.575157E-15,     3.107884E-16,    -8.250399E-16,    -1.131803E-15,    -6.053877E-16,    -1.761508E-15,     2.415470E-15,     3.277566E-16,     1.505534E-15,
  2.000000E+00,     1.907620E-16,     8.510279E-16,     2.562220E-16,     8.665925E-16,     1.008677E-15,     1.276004E-15,    -1.351386E-16,    -1.124521E-15,    -2.798245E-15,     2.343531E-16,     1.866376E-15,
  2.500000E+00,     1.907620E-16,     3.384492E-15,    -4.209176E-16,     1.214848E-15,     6.916880E-16,    -1.359700E-15,    -1.231489E-15,    -3.347700E-16,    -2.179435E-15,     2.619114E-15,     1.823147E-15,
  3.000000E+00,     1.907620E-16,     4.920328E-16,    -9.593226E-16,     2.242732E-17,    -8.424659E-16,    -2.823108E-16,    -6.072065E-16,    -2.876121E-16,    -8.891273E-16,     1.222045E-15,     2.762753E-15,
  3.500000E+00,     1.907620E-16,    -1.987950E-15,     3.127265E-15,     1.406663E-15,     1.284523E-15,    -1.082467E-16,     3.969591E-15,    -1.451060E-15,    -5.636542E-17,     7.831084E-16,     2.100108E-15,
  4.000000E+00,     1.907620E-16,    -1.114064E-15,    -5.865126E-16,     7.914632E-16,     4.069742E-16,     9.855467E-16,     8.712871E-16,    -2.204138E-15,     3.115155E-15,     2.830782E-15,     8.073848E-16,
  4.500000E+00,     1.907620E-16,     3.743486E-16,    -2.882641E-15,    -4.633951E-16,    -3.205645E-15,    -2.037883E-15,     2.511525E-16,     2.355892E-15,     2.944723E-16,     2.509443E-16,     2.401013E-15,
  5.000000E+00,     1.907620E-16,    -5.747004E-16,     3.159322E-16,    -1.319609E-15,     1.434135E-16,     2.950134E-15,    -2.007224E-15,    -4.088675E-16,    -1.225888E-15,    -2.221350E-15,    -2.336066E-15,
  5.500000E+00,     1.907620E-16,    -1.039477E-15,     2.903587E-15,     3.190656E-15,     1.137350E-15,    -1.151364E-15,    -4.428404E-16,    -2.521098E-15,     7.342552E-17,     5.059879E-15,    -1.937452E-15,
  6.000000E+00,     1.907620E-16,     2.667750E-16,    -6.761791E-16,    -5.735929E-16,     6.859491E-16,    -1.137340E-15,    -2.130991E-15,    -2.116471E-15,    -1.183728E-15,    -5.897177E-16,    -1.148232E-16,
  6.500000E+00,     1.907620E-16,     5.114193E-16,    -1.592474E-15,     3.513953E-16,    -1.632630E-15,    -3.379891E-16,    -1.372757E-15,     1.945473E-15,     1.460500E-15,     4.573877E-16,    -1.409531E-15,
  7.000000E+00,     1.907620E-16,    -3.529383E-16,    -1.220540E-15,    -1.663592E-15,     1.144964E-15,    -1.011906E-15,    -1.860972E-15,    -6.517156E-16,    -3.982892E-15,     1.611866E-15,    -7.135516E-16,
  7.500000E+00,     1.907620E-16,    -1.244630E-16,    -5.730911E-16,    -8.432088E-16,     4.308326E-16,    -2.075967E-15,    -1.593979E-15,    -1.073842E-15,    -3.904884E-16,    -5.619275E-16,    -2.661997E-16,
  8.000000E+00,     1.907620E-16,     8.811249E-16,     1.669968E-15,    -2.463504E-15,    -2.630664E-16,     2.115812E-15,    -2.016557E-15,     1.922479E-15,    -2.297331E-15,     1.171404E-15,    -1.136019E-16,
  8.500000E+00,     1.907620E-16,    -3.485790E-16,     4.457634E-16,     6.168566E-16,    -1.691884E-15,     9.119738E-16,    -6.382813E-15,     7.212685E-16,     4.661581E-17,    -1.599304E-15,    -3.302578E-15,
  9.000000E+00,     1.907620E-16,     6.288930E-16,     3.615074E-16,    -6.794187E-16,    -1.085685E-15,     2.127632E-16,    -1.656710E-16,    -2.765229E-15,     3.538654E-15,    -9.342468E-16,    -2.689998E-15,
  9.500000E+00,     1.907620E-16,     7.934809E-17,     1.786492E-15,     1.558993E-15,     1.427117E-15,    -5.390731E-16,    -2.054592E-15,    -1.215941E-15,    -3.649505E-16,     8.064284E-16,    -2.176104E-16,
  1.000000E+01,     1.907620E-16,    -2.732798E-16,     7.412099E-16,    -2.060226E-15,    -5.417377E-16,     2.825777E-15,     2.223030E-15,    -4.138398E-17,     2.405452E-15,     1.903449E-16,    -6.210862E-16,
  1.050000E+01,     1.907620E-16,    -5.630469E-16,     1.464798E-15,    -8.460693E-16,    -9.211459E-16,    -1.222879E-16,     3.067086E-15,    -9.535677E-16,    -8.493301E-17,    -4.430279E-16,    -1.121882E-15,
  1.100000E+01,     1.907620E-16,    -6.341191E-17,    -1.525913E-15,    -8.547711E-16,    -2.815447E-15,    -2.213684E-15,    -1.689942E-15,     5.189490E-16,     6.555286E-16,     2.438409E-15,    -1.187743E-15,
  1.150000E+01,     1.907620E-16,    -2.031018E-16,     5.510934E-16,    -2.013377E-16,    -3.689550E-15,    -2.771696E-16,     9.558754E-16,     1.183361E-15,    -2.168929E-15,     2.036165E-16,     3.154655E-15,
  1.200000E+01,     1.907620E-16,     4.061287E-16,     6.563848E-17,     9.526465E-17,     3.728004E-15,    -5.374439E-16,    -2.254461E-15,    -1.437168E-15,     1.107708E-15,    -2.109124E-15,    -1.773464E-15,
  1.250000E+01,     1.907620E-16,    -9.306066E-17,     2.951466E-16,    -2.908568E-15,    -2.661163E-15,    -3.901881E-15,     5.185691E-16,    -1.498137E-17,    -2.733176E-15,     3.575584E-15,    -9.000263E-16,
  1.300000E+01,     1.907620E-16,    -5.128284E-16,    -3.383666E-16,    -2.543424E-15,     1.430276E-15,    -8.535733E-17,    -7.190738E-16,     7.731738E-16,     1.523524E-16,     4.450190E-16,    -2.428314E-16,
  1.350000E+01,     1.907620E-16,    -3.284270E-16,    -1.452537E-15,     1.634735E-15,    -1.503385E-15,    -9.794216E-16,     2.313723E-15,    -7.341141E-16,     9.837127E-17,     7.251199E-16,    -1.918179E-15,
  1.400000E+01,     1.907620E-16,     1.297450E-16,    -1.505222E-16,    -1.959513E-15,     9.006403E-16,    -1.695152E-15,    -3.906395E-15,     2.760765E-15,    -5.073268E-15,    -2.030421E-15,    -2.420966E-15,
  1.450000E+01,     1.907620E-16,    -3.151955E-16,    -9.048538E-16,     7.314486E-16,    -3.496480E-16,    -3.506975E-17,     2.054569E-15,     1.654897E-15,    -2.415345E-15,    -9.007704E-16,    -2.217281E-15,
  1.500000E+01,     1.907620E-16,     3.683621E-16,    -5.178166E-17,     2.314354E-16,    -4.894529E-15,    -2.730282E-15,     1.440068E-15,     1.720900E-15,     3.521559E-15,    -2.750790E-15,    -1.756090E-15,
  1.550000E+01,     1.907620E-16,    -1.161184E-16,    -1.078728E-16,    -5.523295E-17,    -7.310941E-16,    -5.773891E-16,     1.756504E-15,     1.190463E-15,    -4.868928E-16,     2.130100E-15,    -1.386264E-15,
  1.600000E+01,     1.907620E-16,     8.085070E-16,    -8.926550E-16,    -2.649787E-15,    -5.556931E-16,    -5.403405E-15,    -2.464982E-16,     8.640020E-16,     9.047546E-16,    -2.314835E-15,    -2.980186E-16,
  1.650000E+01,     1.907620E-16,     1.387925E-15,     4.661613E-16,     6.899769E-16,     1.335821E-15,     1.768086E-15,    -2.350495E-16,    -2.793768E-16,     1.369147E-15,    -1.198205E-16,    -7.477557E-16,
  1.700000E+01,     1.907620E-16,    -1.108225E-15,    -3.366078E-16,    -1.818638E-15,     9.898160E-16,    -3.212349E-15,     1.049756E-17,     3.423908E-15,    -3.520740E-15,    -1.784676E-15,     8.106254E-16,
  1.750000E+01,     1.907620E-16,    -5.817380E-16,    -5.384084E-16,    -3.663257E-16,     7.934602E-16,    -2.317704E-15,    -8.868730E-16,    -2.596343E-15,    -3.517413E-15,    -4.623572E-15,    -2.823323E-15,
  1.800000E+01,     1.907620E-16,    -4.660397E-16,     3.773270E-17,    -1.416138E-16,    -2.579463E-15,    -2.617726E-15,     2.521229E-15,     3.203568E-15,    -1.800467E-15,    -1.518679E-15,    -2.911159E-15,
  1.850000E+01,     1.907620E-16,    -1.124076E-16,    -6.253569E-16,    -1.536365E-15,    -1.894323E-15,     1.104709E-15,    -5.764884E-16,     2.049711E-15,     4.093683E-17,     4.403195E-16,    -2.884840E-15,
  1.900000E+01,     1.907620E-16,     1.829625E-16,     8.340721E-16,     7.167317E-16,     8.697611E-16,    -1.618345E-15,     1.839108E-15,    -1.666651E-16,    -6.693981E-16,     6.776858E-16,    -2.803330E-15,
  1.950000E+01,     1.907620E-16,    -1.362571E-15,     2.522675E-17,    -7.462871E-17,     1.847553E-15,    -2.384005E-15,    -2.560052E-15,     2.026569E-15,    -3.534361E-15,    -1.942638E-15,     4.661746E-16,
  2.000000E+01,     1.907620E-16,     1.043962E-16,    -2.804839E-16,     9.911406E-18,    -1.461098E-15,     2.942108E-16,    -1.315619E-15,    -1.122220E-15,     1.401671E-15,     1.937261E-15,    -1.846210E-15,
  2.050000E+01,     1.907620E-16,     2.842750E-17,     3.783314E-16,     6.032107E-16,     4.638683E-16,     3.499881E-15,    -1.447471E-15,    -6.897741E-16,    -2.065132E-15,     1.957196E-15,    -2.566918E-16,
  2.100000E+01,     1.907620E-16,    -4.786656E-16,    -7.699424E-17,     5.320137E-16,    -5.519416E-16,    -3.492599E-15,     2.662535E-17,    -1.366762E-16,    -8.815027E-16,    -3.032193E-15,    -2.665801E-15,
  2.150000E+01,     1.907620E-16,    -8.371124E-16,     3.390246E-16,    -6.787515E-16,     4.872848E-18,     2.937883E-16,     3.624171E-16,     2.669785E-15,    -2.443118E-15,     8.753143E-16,     4.310590E-15,
  2.200000E+01,     1.907620E-16,    -1.627518E-16,    -4.062719E-16,     1.661712E-17,    -1.416614E-15,    -4.153274E-16,    -2.039208E-15,    -3.085310E-15,    -1.867842E-15,     2.516671E-15,     5.077522E-15,
  2.250000E+01,     1.907620E-16,     1.592502E-16,    -4.858072E-16,    -3.319328E-16,    -5.671420E-16,    -1.283118E-15,     1.257164E-15,    -1.256739E-16,     2.957541E-15,     3.477785E-15,    -6.209229E-16,
  2.300000E+01,     1.907620E-16,     2.259492E-16,     3.207577E-16,     3.782625E-16,    -9.116157E-16,    -1.603590E-15,     3.580311E-16,     9.180167E-16,     3.991339E-15,    -2.261461E-15,    -1.158066E-15,
  2.350000E+01,     1.907620E-16,    -3.552441E-16,     2.496858E-16,    -2.157627E-17,    -3.676081E-16,     1.888461E-16,     1.206081E-15,     1.217533E-15,    -3.030426E-15,    -3.925462E-15,    -6.651001E-16,
  2.400000E+01,     1.907620E-16,     7.421418E-16,    -1.233574E-16,     1.145167E-15,    -1.654325E-16,     1.566992E-15,    -2.324713E-15,    -2.847283E-15,    -1.513354E-15,    -2.177089E-15,     4.303234E-16,
