#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   122.46 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,    -5.327613E-18,     1.033790E-17,    -1.015458E-19,     6.886882E-18,     2.261583E-17,    -6.878086E-18,    -7.312550E-18,     3.957451E-19,     2.042847E-18,     1.144162E-17,    -8.001855E-18,
  5.000000E-01,    -5.327613E-18,     9.688028E-18,    -5.292495E-19,     9.665165E-18,    -2.039822E-18,     1.360761E-17,     1.799309E-18,    -6.575586E-18,     2.895667E-18,    -6.868783E-18,    -2.591594E-18,
  1.000000E+00,    -5.327613E-18,     6.355003E-18,     2.406531E-17,    -1.525973E-18,     1.367387E-17,     1.153515E-17,    -4.798161E-18,    -1.455111E-17,    -6.899485E-18,     2.197548E-17,    -8.040323E-18,
  1.500000E+00,    -5.327613E-18,    -1.180995E-17,    -1.993206E-19,    -2.486804E-17,     2.444689E-17,    -8.381063E-18,     2.060050E-17,     1.290908E-18,    -1.689803E-17,     4.033956E-18,     7.140232E-18,
  2.000000E+00,    -5.327613E-18,    -1.089617E-17,    -8.606517E-18,     5.753230E-18,     2.396682E-17,     1.001965E-17,     5.649263E-18,    -8.248544E-18,     4.655551E-18,    -8.519067E-18,     5.362944E-18,
  2.500000E+00,    -5.327613E-18,    -4.219928E-18,     2.669233E-18,    -1.521898E-17,     1.564137E-17,    -2.956387E-18,    -8.278478E-18,    -5.858130E-18,     8.676110E-18,     7.999303E-18,     5.308613E-18,
  3.000000E+00,    -5.327613E-18,     1.025542E-17,    -6.060734E-18,     6.468065E-18,    -4.701892E-18,     1.728388E-17,    -5.298519E-18,     1.311481E-17,     9.490030E-18,     7.296237E-22,     3.588762E-17,
  3.500000E+00,    -5.327613E-18,     1.038200E-17,     1.726435E-17,    -3.704637E-18,     1.026690E-17,     2.014930E-19,    -2.387782E-17,     3.590228E-17,     2.713179E-17,     9.981184E-18,     6.591666E-18,
  4.000000E+00,    -5.327613E-18,    -1.709944E-17,    -4.961371E-18,    -2.007327E-17,     9.574484E-18,    -5.737096E-18,    -1.126485E-17,     4.751119E-18,     9.171027E-18,    -4.029739E-18,    -1.258795E-17,
  4.500000E+00,    -5.327613E-18,     2.297339E-17,     2.701284E-18,    -1.424284E-17,     1.333541E-17,    -1.430061E-18,    -2.718065E-17,    -1.273759E-17,    -2.687546E-17,    -1.413920E-17,    -1.711984E-17,
  5.000000E+00,    -5.327613E-18,    -6.743072E-18,     9.888278E-18,    -7.334916E-18,     2.465111E-17,     4.649460E-18,     6.108205E-18,     5.808488E-18,    -5.183071E-18,    -1.845417E-17,    -6.919452E-18,
  5.500000E+00,    -5.327613E-18,    -7.138172E-18,     6.424499E-18,     4.848587E-18,     1.222614E-17,    -5.311174E-18,    -1.480496E-17,    -5.962736E-18,     3.129634E-17,     1.554554E-17,     1.098085E-17,
  6.000000E+00,    -5.327613E-18,     4.434828E-18,    -1.473622E-18,     1.262756E-17,     6.645445E-18,    -1.798555E-18,     3.484825E-17,    -8.119390E-18,     3.311028E-17,     1.382693E-17,     1.109555E-17,
  6.500000E+00,    -5.327613E-18,    -8.043466E-18,    -1.331930E-18,    -6.137091E-18,    -8.875213E-18,     3.002212E-17,    -2.184810E-17,     1.327030E-17,     1.723966E-17,     8.451190E-18,    -1.675844E-17,
  7.000000E+00,    -5.327613E-18,    -9.887188E-19,    -2.254244E-18,     5.739196E-18,     1.062211E-17,     9.317689E-18,     1.232258E-18,     4.791507E-18,     6.850395E-18,     3.120501E-18,     1.355900E-17,
  7.500000E+00,    -5.327613E-18,    -3.467444E-18,     2.112089E-17,    -1.515508E-17,     5.896410E-19,     4.620352E-19,     2.974158E-18,     1.161058E-17,    -1.324821E-17,     5.262593E-18,    -8.784227E-19,
  8.000000E+00,    -5.327613E-18,    -9.812973E-18,     1.945472E-17,    -9.593061E-18,     1.052685E-17,    -1.227125E-18,     1.674772E-17,     4.816532E-18,    -1.656876E-17,    -1.359337E-17,     2.098163E-17,
  8.500000E+00,    -5.327613E-18,    -9.749370E-18,     5.578834E-18,     2.810294E-18,    -2.343943E-17,    -9.321978E-18,    -1.609115E-18,    -5.087867E-18,    -1.061765E-17,    -1.988605E-17,     1.678896E-17,
  9.000000E+00,    -5.327613E-18,     1.488868E-17,    -1.317800E-17,    -1.454635E-17,    -1.432757E-17,    -6.637820E-18,     9.988442E-18,    -9.109571E-18,     3.079444E-18,     1.345827E-17,     1.043327E-17,
  9.500000E+00,    -5.327613E-18,     8.826479E-19,     2.087672E-17,    -2.659619E-18,    -6.410318E-18,    -6.841762E-18,    -1.373390E-18,    -7.661402E-18,    -9.884070E-18,    -1.974547E-17,    -6.686739E-18,
