alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    21.09 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,    -1.000000E+00,    -2.751178E-04,    -2.555059E-06,     5.003099E-06,     2.234626E-06,     8.824392E-07,     3.364747E-07,     9.124272E-08,    -4.078446E-08,    -1.233277E-07,    -1.818579E-07,
  5.000000E-01,    -1.000000E+00,    -1.975571E-03,     2.371454E-04,     1.582402E-04,     7.491634E-05,     3.702919E-05,     1.930328E-05,     1.002721E-05,     4.630550E-06,     1.243718E-06,    -1.006005E-06,
  1.000000E+00,    -1.000000E+00,    -4.947067E-03,     4.019306E-04,     2.973850E-04,     1.426268E-04,     7.084347E-05,     3.701592E-05,     1.923190E-05,     8.851012E-06,     2.321063E-06,    -2.023755E-06,
  1.500000E+00,    -1.000000E+00,    -1.013947E-02,     4.267676E-04,     4.100596E-04,     2.009329E-04,     1.002246E-04,     5.233886E-05,     2.704202E-05,     1.221240E-05,     2.848146E-06,    -3.407255E-06,
  2.000000E+00,    -1.000000E+00,    -1.854865E-02,     2.504341E-04,     4.852734E-04,     2.458848E-04,     1.232679E-04,     6.422784E-05,     3.284140E-05,     1.433266E-05,     2.579561E-06,    -5.319724E-06,
  2.500000E+00,    -1.000000E+00,    -3.131369E-02,    -1.859296E-04,     5.137664E-04,     2.741685E-04,     1.383284E-04,     7.175977E-05,     3.607642E-05,     1.486454E-05,     1.290384E-06,    -7.911999E-06,
  3.000000E+00,    -1.000000E+00,    -4.979701E-02,    -9.426510E-04,     4.881274E-04,     2.832204E-04,     1.440756E-04,     7.415941E-05,     3.627034E-05,     1.350388E-05,    -1.218787E-06,    -1.131933E-05,
  3.500000E+00,    -1.000000E+00,    -7.560856E-02,    -2.087775E-03,     4.026460E-04,     2.712895E-04,     1.395330E-04,     7.082091E-05,     3.303529E-05,     9.996694E-06,    -5.117384E-06,    -1.565856E-05,
  4.000000E+00,    -1.000000E+00,    -1.105318E-01,    -3.705608E-03,     2.528874E-04,     2.374442E-04,     1.240999E-04,     6.132265E-05,     2.608152E-05,     4.144931E-06,    -1.054120E-05,    -2.102575E-05,
  4.500000E+00,    -1.000000E+00,    -1.563061E-01,    -5.907409E-03,     3.499625E-05,     1.815205E-04,     9.755594E-05,     4.543481E-05,     1.522315E-05,    -4.189503E-06,    -1.758963E-05,    -2.749436E-05,
  5.000000E+00,    -1.000000E+00,    -2.142297E-01,    -8.844118E-03,    -2.552524E-04,     1.040167E-04,     6.004673E-05,     2.311938E-05,     3.804831E-07,    -1.508251E-05,    -2.632389E-05,    -3.511404E-05,
  5.500000E+00,    -1.000000E+00,    -2.845973E-01,    -1.272110E-02,    -6.236386E-04,     5.940695E-06,     1.205288E-05,    -5.477040E-06,    -1.842121E-05,    -2.854743E-05,    -3.676634E-05,    -4.391004E-05,
  6.000000E+00,    -1.000000E+00,    -3.660900E-01,    -1.781487E-02,    -1.078910E-03,    -1.113831E-04,    -4.565520E-05,    -4.003712E-05,    -4.105631E-05,    -4.453645E-05,    -4.890073E-05,    -5.388318E-05,
  6.500000E+00,    -1.000000E+00,    -4.553935E-01,    -2.449154E-02,    -1.634434E-03,    -2.465382E-04,    -1.120742E-04,    -8.009239E-05,    -6.730645E-05,    -6.294377E-05,    -6.267352E-05,    -6.501058E-05,
  7.000000E+00,    -1.000000E+00,    -5.474010E-01,    -3.322646E-02,    -2.310116E-03,    -3.982655E-04,    -1.860330E-04,    -1.250474E-04,    -9.687083E-05,    -8.361026E-05,    -7.799614E-05,    -7.724689E-05,
  7.500000E+00,    -1.000000E+00,    -6.361835E-01,    -4.462312E-02,    -3.134667E-03,    -5.657325E-04,    -2.662637E-04,    -1.742073E-04,    -1.293786E-04,    -1.063295E-04,    -9.474800E-05,    -9.052610E-05,
  8.000000E+00,    -1.000000E+00,    -7.164401E-01,    -5.942819E-02,    -4.148288E-03,    -7.488217E-04,    -3.514742E-04,    -2.268075E-04,    -1.644029E-04,    -1.308547E-04,    -1.127803E-04,    -1.047639E-04,
  8.500000E+00,    -1.000000E+00,    -7.847277E-01,    -7.853627E-02,    -5.405939E-03,    -9.484400E-04,    -4.404208E-04,    -2.820438E-04,    -2.014756E-04,    -1.569069E-04,    -1.319203E-04,    -1.198603E-04,
