#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =    69.32 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     1.894770E+00,     1.891557E+00,     1.886324E+00,     1.883788E+00,     1.882555E+00,     1.881914E+00,     1.881567E+00,     1.881386E+00,     1.881305E+00,     1.881288E+00,
  5.000000E-01,     1.000000E+00,     1.890035E+00,     1.890984E+00,     1.886135E+00,     1.883699E+00,     1.882507E+00,     1.881886E+00,     1.881552E+00,     1.881377E+00,     1.881301E+00,     1.881286E+00,
  1.000000E+00,     1.000000E+00,     1.878755E+00,     1.889482E+00,     1.885635E+00,     1.883463E+00,     1.882380E+00,     1.881813E+00,     1.881509E+00,     1.881354E+00,     1.881288E+00,     1.881282E+00,
  1.500000E+00,     1.000000E+00,     1.861431E+00,     1.887130E+00,     1.884848E+00,     1.883089E+00,     1.882178E+00,     1.881698E+00,     1.881443E+00,     1.881316E+00,     1.881269E+00,     1.881274E+00,
  2.000000E+00,     1.000000E+00,     1.838293E+00,     1.884034E+00,     1.883812E+00,     1.882593E+00,     1.881908E+00,     1.881543E+00,     1.881353E+00,     1.881266E+00,     1.881243E+00,     1.881264E+00,
  2.500000E+00,     1.000000E+00,     1.809127E+00,     1.880306E+00,     1.882572E+00,     1.881994E+00,     1.881580E+00,     1.881355E+00,     1.881244E+00,     1.881205E+00,     1.881213E+00,     1.881254E+00,
  3.000000E+00,     1.000000E+00,     1.773265E+00,     1.876043E+00,     1.881179E+00,     1.881315E+00,     1.881205E+00,     1.881139E+00,     1.881119E+00,     1.881135E+00,     1.881178E+00,     1.881242E+00,
  3.500000E+00,     1.000000E+00,     1.729765E+00,     1.871299E+00,     1.879685E+00,     1.880580E+00,     1.880795E+00,     1.880901E+00,     1.880982E+00,     1.881059E+00,     1.881142E+00,     1.881232E+00,
  4.000000E+00,     1.000000E+00,     1.677757E+00,     1.866070E+00,     1.878141E+00,     1.879814E+00,     1.880364E+00,     1.880650E+00,     1.880837E+00,     1.880980E+00,     1.881105E+00,     1.881223E+00,
  4.500000E+00,     1.000000E+00,     1.616928E+00,     1.860272E+00,     1.876590E+00,     1.879044E+00,     1.879925E+00,     1.880394E+00,     1.880689E+00,     1.880901E+00,     1.881070E+00,     1.881217E+00,
  5.000000E+00,     1.000000E+00,     1.548023E+00,     1.853727E+00,     1.875064E+00,     1.878294E+00,     1.879492E+00,     1.880139E+00,     1.880543E+00,     1.880824E+00,     1.881038E+00,     1.881216E+00,
  5.500000E+00,     1.000000E+00,     1.473184E+00,     1.846149E+00,     1.873585E+00,     1.877584E+00,     1.879078E+00,     1.879894E+00,     1.880404E+00,     1.880753E+00,     1.881013E+00,     1.881221E+00,
  6.000000E+00,     1.000000E+00,     1.395905E+00,     1.837128E+00,     1.872157E+00,     1.876933E+00,     1.878694E+00,     1.879667E+00,     1.880277E+00,     1.880692E+00,     1.880995E+00,     1.881233E+00,
  6.500000E+00,     1.000000E+00,     1.320494E+00,     1.826129E+00,     1.870769E+00,     1.876356E+00,     1.878352E+00,     1.879464E+00,     1.880165E+00,     1.880642E+00,     1.880987E+00,     1.881254E+00,
  7.000000E+00,     1.000000E+00,     1.251144E+00,     1.812478E+00,     1.869388E+00,     1.875861E+00,     1.878061E+00,     1.879291E+00,     1.880074E+00,     1.880607E+00,     1.880990E+00,     1.881284E+00,
  7.500000E+00,     1.000000E+00,     1.190993E+00,     1.795377E+00,     1.867961E+00,     1.875456E+00,     1.877827E+00,     1.879154E+00,     1.880007E+00,     1.880589E+00,     1.881008E+00,     1.881326E+00,
  8.000000E+00,     1.000000E+00,     1.141578E+00,     1.773920E+00,     1.866411E+00,     1.875138E+00,     1.877655E+00,     1.879057E+00,     1.879967E+00,     1.880591E+00,     1.881040E+00,     1.881381E+00,
  8.500000E+00,     1.000000E+00,     1.102853E+00,     1.747150E+00,     1.864632E+00,     1.874905E+00,     1.877549E+00,     1.879004E+00,     1.879956E+00,     1.880614E+00,     1.881089E+00,     1.881449E+00,
  9.000000E+00,     1.000000E+00,     1.073646E+00,     1.714153E+00,     1.862490E+00,     1.874745E+00,     1.877510E+00,     1.878996E+00,     1.879977E+00,     1.880661E+00,     1.881156E+00,     1.881531E+00,
  9.500000E+00,     1.000000E+00,     1.052246E+00,     1.674198E+00,     1.859811E+00,     1.874644E+00,     1.877537E+00,     1.879035E+00,     1.880032E+00,     1.880732E+00,     1.881241E+00,     1.881628E+00,
  1.000000E+01,     1.000000E+00,     1.036881E+00,     1.626938E+00,     1.856379E+00,     1.874583E+00,     1.877628E+00,     1.879121E+00,     1.880120E+00,     1.880828E+00,     1.881346E+00,     1.881741E+00,
  1.050000E+01,     1.000000E+00,     1.025991E+00,     1.572629E+00,     1.851928E+00,     1.874535E+00,     1.877777E+00,     1.879252E+00,     1.880241E+00,     1.880949E+00,     1.881470E+00,     1.881869E+00,
  1.100000E+01,     1.000000E+00,     1.018329E+00,     1.512313E+00,     1.846130E+00,     1.874468E+00,     1.877980E+00,     1.879428E+00,     1.880397E+00,     1.881096E+00,     1.881614E+00,     1.882014E+00,
  1.150000E+01,     1.000000E+00,     1.012953E+00,     1.447895E+00,     1.838586E+00,     1.874345E+00,     1.878229E+00,     1.879645E+00,     1.880584E+00,     1.881267E+00,     1.881778E+00,     1.882175E+00,
  1.200000E+01,     1.000000E+00,     1.009182E+00,     1.382005E+00,     1.828816E+00,     1.874119E+00,     1.878515E+00,     1.879901E+00,     1.880802E+00,     1.881463E+00,     1.881961E+00,     1.882351E+00,
  1.250000E+01,     1.000000E+00,     1.006531E+00,     1.317647E+00,     1.816256E+00,     1.873735E+00,     1.878829E+00,     1.880191E+00,     1.881049E+00,     1.881682E+00,     1.882162E+00,     1.882543E+00,
  1.300000E+01,     1.000000E+00,     1.004663E+00,     1.257679E+00,     1.800252E+00,     1.873124E+00,     1.879161E+00,     1.880512E+00,     1.881322E+00,     1.881923E+00,     1.882382E+00,     1.882750E+00,
  1.350000E+01,     1.000000E+00,     1.003341E+00,     1.204321E+00,     1.780080E+00,     1.872204E+00,     1.879498E+00,     1.880858E+00,     1.881619E+00,     1.882183E+00,     1.882617E+00,     1.882971E+00,
  1.400000E+01,     1.000000E+00,     1.002402E+00,     1.158840E+00,     1.754974E+00,     1.870874E+00,     1.879827E+00,     1.881225E+00,     1.881936E+00,     1.882462E+00,     1.882869E+00,     1.883205E+00,
  1.450000E+01,     1.000000E+00,     1.001731E+00,     1.121517E+00,     1.724194E+00,     1.869010E+00,     1.880134E+00,     1.881607E+00,     1.882271E+00,     1.882756E+00,     1.883134E+00,     1.883452E+00,
  1.500000E+01,     1.000000E+00,     1.001251E+00,     1.091846E+00,     1.687127E+00,     1.866458E+00,     1.880402E+00,     1.882000E+00,     1.882621E+00,     1.883065E+00,     1.883411E+00,     1.883710E+00,
  1.550000E+01,     1.000000E+00,     1.000906E+00,     1.068842E+00,     1.643428E+00,     1.863030E+00,     1.880613E+00,     1.882399E+00,     1.882982E+00,     1.883385E+00,     1.883700E+00,     1.883979E+00,
  1.600000E+01,     1.000000E+00,     1.000657E+00,     1.051339E+00,     1.593191E+00,     1.858490E+00,     1.880744E+00,     1.882797E+00,     1.883351E+00,     1.883714E+00,     1.883997E+00,     1.884257E+00,
  1.650000E+01,     1.000000E+00,     1.000477E+00,     1.038193E+00,     1.537113E+00,     1.852553E+00,     1.880769E+00,     1.883189E+00,     1.883725E+00,     1.884050E+00,     1.884302E+00,     1.884543E+00,
  1.700000E+01,     1.000000E+00,     1.000346E+00,     1.028404E+00,     1.476593E+00,     1.844867E+00,     1.880657E+00,     1.883571E+00,     1.884101E+00,     1.884391E+00,     1.884612E+00,     1.884836E+00,
  1.750000E+01,     1.000000E+00,     1.000251E+00,     1.021148E+00,     1.413695E+00,     1.835012E+00,     1.880372E+00,     1.883935E+00,     1.884477E+00,     1.884735E+00,     1.884926E+00,     1.885135E+00,
  1.800000E+01,     1.000000E+00,     1.000182E+00,     1.015780E+00,     1.350945E+00,     1.822484E+00,     1.879865E+00,     1.884278E+00,     1.884848E+00,     1.885079E+00,     1.885243E+00,     1.885438E+00,
  1.850000E+01,     1.000000E+00,     1.000132E+00,     1.011810E+00,     1.290959E+00,     1.806704E+00,     1.879081E+00,     1.884591E+00,     1.885214E+00,     1.885422E+00,     1.885560E+00,     1.885745E+00,
  1.900000E+01,     1.000000E+00,     1.000095E+00,     1.008870E+00,     1.236022E+00,     1.787020E+00,     1.877948E+00,     1.884868E+00,     1.885571E+00,     1.885761E+00,     1.885876E+00,     1.886055E+00,
  1.950000E+01,     1.000000E+00,     1.000069E+00,     1.006686E+00,     1.187735E+00,     1.762735E+00,     1.876376E+00,     1.885100E+00,     1.885917E+00,     1.886095E+00,     1.886190E+00,     1.886367E+00,
  2.000000E+01,     1.000000E+00,     1.000050E+00,     1.005060E+00,     1.146860E+00,     1.733163E+00,     1.874254E+00,     1.885279E+00,     1.886250E+00,     1.886423E+00,     1.886500E+00,     1.886680E+00,
  2.050000E+01,     1.000000E+00,     1.000036E+00,     1.003844E+00,     1.113371E+00,     1.697705E+00,     1.871444E+00,     1.885392E+00,     1.886568E+00,     1.886743E+00,     1.886805E+00,     1.886994E+00,
  2.100000E+01,     1.000000E+00,     1.000025E+00,     1.002933E+00,     1.086665E+00,     1.655979E+00,     1.867771E+00,     1.885425E+00,     1.886868E+00,     1.887053E+00,     1.887104E+00,     1.887308E+00,
  2.150000E+01,     1.000000E+00,     1.000018E+00,     1.002246E+00,     1.065811E+00,     1.607963E+00,     1.863022E+00,     1.885362E+00,     1.887150E+00,     1.887354E+00,     1.887397E+00,     1.887622E+00,
  2.200000E+01,     1.000000E+00,     1.000013E+00,     1.001726E+00,     1.049780E+00,     1.554152E+00,     1.856929E+00,     1.885182E+00,     1.887410E+00,     1.887643E+00,     1.887681E+00,     1.887937E+00,
