alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    19.08 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
    0.000000,      -1.000000,      -0.000275,      -0.000003,       0.000005,       0.000002,       0.000001,       0.000000,       0.000000,      -0.000000,      -0.000000,      -0.000000,
    0.500000,      -1.000000,      -0.001976,       0.000237,       0.000158,       0.000075,       0.000037,       0.000019,       0.000010,       0.000005,       0.000001,      -0.000001,
    1.000000,      -1.000000,      -0.004947,       0.000402,       0.000297,       0.000143,       0.000071,       0.000037,       0.000019,       0.000009,       0.000002,      -0.000002,
    1.500000,      -1.000000,      -0.010139,       0.000427,       0.000410,       0.000201,       0.000100,       0.000052,       0.000027,       0.000012,       0.000003,      -0.000003,
    2.000000,      -1.000000,      -0.018549,       0.000250,       0.000485,       0.000246,       0.000123,       0.000064,       0.000033,       0.000014,       0.000003,      -0.000005,
    2.500000,      -1.000000,      -0.031314,      -0.000186,       0.000514,       0.000274,       0.000138,       0.000072,       0.000036,       0.000015,       0.000001,      -0.000008,
    3.000000,      -1.000000,      -0.049797,      -0.000943,       0.000488,       0.000283,       0.000144,       0.000074,       0.000036,       0.000014,      -0.000001,      -0.000011,
    3.500000,      -1.000000,      -0.075609,      -0.002088,       0.000403,       0.000271,       0.000140,       0.000071,       0.000033,       0.000010,      -0.000005,      -0.000016,
    4.000000,      -1.000000,      -0.110532,      -0.003706,       0.000253,       0.000237,       0.000124,       0.000061,       0.000026,       0.000004,      -0.000011,      -0.000021,
    4.500000,      -1.000000,      -0.156306,      -0.005907,       0.000035,       0.000182,       0.000098,       0.000045,       0.000015,      -0.000004,      -0.000018,      -0.000027,
    5.000000,      -1.000000,      -0.214230,      -0.008844,      -0.000255,       0.000104,       0.000060,       0.000023,       0.000000,      -0.000015,      -0.000026,      -0.000035,
    5.500000,      -1.000000,      -0.284597,      -0.012721,      -0.000624,       0.000006,       0.000012,      -0.000005,      -0.000018,      -0.000029,      -0.000037,      -0.000044,
    6.000000,      -1.000000,      -0.366090,      -0.017815,      -0.001079,      -0.000111,      -0.000046,      -0.000040,      -0.000041,      -0.000045,      -0.000049,      -0.000054,
    6.500000,      -1.000000,      -0.455394,      -0.024492,      -0.001634,      -0.000247,      -0.000112,      -0.000080,      -0.000067,      -0.000063,      -0.000063,      -0.000065,
    7.000000,      -1.000000,      -0.547401,      -0.033226,      -0.002310,      -0.000398,      -0.000186,      -0.000125,      -0.000097,      -0.000084,      -0.000078,      -0.000077,
    7.500000,      -1.000000,      -0.636184,      -0.044623,      -0.003135,      -0.000566,      -0.000266,      -0.000174,      -0.000129,      -0.000106,      -0.000095,      -0.000091,
    8.000000,      -1.000000,      -0.716440,      -0.059428,      -0.004148,      -0.000749,      -0.000351,      -0.000227,      -0.000164,      -0.000131,      -0.000113,      -0.000105,
    8.500000,      -1.000000,      -0.784728,      -0.078536,      -0.005406,      -0.000948,      -0.000440,      -0.000282,      -0.000201,      -0.000157,      -0.000132,      -0.000120,
    9.000000,      -1.000000,      -0.839883,      -0.102974,      -0.006981,      -0.001167,      -0.000532,      -0.000339,      -0.000240,      -0.000184,      -0.000152,      -0.000136,
    9.500000,      -1.000000,      -0.882619,      -0.133852,      -0.008972,      -0.001408,      -0.000625,      -0.000397,      -0.000280,      -0.000212,      -0.000173,      -0.000152,
   10.000000,      -1.000000,      -0.914729,      -0.172255,      -0.011505,      -0.001678,      -0.000719,      -0.000456,      -0.000320,      -0.000241,      -0.000194,      -0.000169,
   10.500000,      -1.000000,      -0.938350,      -0.219075,      -0.014745,      -0.001987,      -0.000814,      -0.000514,      -0.000360,      -0.000270,      -0.000216,      -0.000186,
   11.000000,      -1.000000,      -0.955497,      -0.274751,      -0.018903,      -0.002345,      -0.000910,      -0.000570,      -0.000400,      -0.000299,      -0.000237,      -0.000204,
   11.500000,      -1.000000,      -0.967852,      -0.338974,      -0.024247,      -0.002770,      -0.001006,      -0.000626,      -0.000439,      -0.000328,      -0.000259,      -0.000222,
   12.000000,      -1.000000,      -0.976728,      -0.410410,      -0.031117,      -0.003284,      -0.001105,      -0.000680,      -0.000477,      -0.000356,      -0.000280,      -0.000239,
   12.500000,      -1.000000,      -0.983102,      -0.486594,      -0.039934,      -0.003914,      -0.001207,      -0.000731,      -0.000514,      -0.000383,      -0.000300,      -0.000257,
   13.000000,      -1.000000,      -0.987688,      -0.564126,      -0.051221,      -0.004697,      -0.001315,      -0.000780,      -0.000548,      -0.000409,      -0.000320,      -0.000275,
   13.500000,      -1.000000,      -0.990998,      -0.639205,      -0.065606,      -0.005680,      -0.001432,      -0.000828,      -0.000581,      -0.000433,      -0.000339,      -0.000292,
   14.000000,      -1.000000,      -0.993395,      -0.708373,      -0.083836,      -0.006922,      -0.001563,      -0.000873,      -0.000612,      -0.000457,      -0.000357,      -0.000309,
   14.500000,      -1.000000,      -0.995139,      -0.769160,      -0.106759,      -0.008500,      -0.001711,      -0.000917,      -0.000641,      -0.000478,      -0.000374,      -0.000326,
   15.000000,      -1.000000,      -0.996413,      -0.820386,      -0.135299,      -0.010512,      -0.001885,      -0.000959,      -0.000667,      -0.000499,      -0.000390,      -0.000342,
   15.500000,      -1.000000,      -0.997347,      -0.862063,      -0.170381,      -0.013079,      -0.002093,      -0.001002,      -0.000692,      -0.000517,      -0.000404,      -0.000358,
   16.000000,      -1.000000,      -0.998035,      -0.895043,      -0.212809,      -0.016359,      -0.002346,      -0.001045,      -0.000714,      -0.000534,      -0.000417,      -0.000375,
   16.500000,      -1.000000,      -0.998543,      -0.920603,      -0.263088,      -0.020549,      -0.002658,      -0.001089,      -0.000735,      -0.000549,      -0.000429,      -0.000391,
   17.000000,      -1.000000,      -0.998919,      -0.940124,      -0.321187,      -0.025896,      -0.003047,      -0.001138,      -0.000754,      -0.000563,      -0.000440,      -0.000408,
   17.500000,      -1.000000,      -0.999198,      -0.954888,      -0.386313,      -0.032710,      -0.003534,      -0.001191,      -0.000772,      -0.000575,      -0.000450,      -0.000425,
   18.000000,      -1.000000,      -0.999405,      -0.965991,      -0.456749,      -0.041376,      -0.004149,      -0.001252,      -0.000789,      -0.000585,      -0.000458,      -0.000442,
   18.500000,      -1.000000,      -0.999559,      -0.974316,      -0.529897,      -0.052365,      -0.004927,      -0.001323,      -0.000806,      -0.000595,      -0.000465,      -0.000461,
   19.000000,      -1.000000,      -0.999674,      -0.980553,      -0.602578,      -0.066247,      -0.005914,      -0.001408,      -0.000822,      -0.000603,      -0.000471,      -0.000482,
   19.500000,      -1.000000,      -0.999759,      -0.985230,      -0.671565,      -0.083694,      -0.007167,      -0.001512,      -0.000839,      -0.000610,      -0.000477,      -0.000504,
   20.000000,      -1.000000,      -0.999823,      -0.988743,      -0.734172,      -0.105480,      -0.008759,      -0.001639,      -0.000857,      -0.000617,      -0.000481,      -0.000529,
   20.500000,      -1.000000,      -0.999870,      -0.991389,      -0.788676,      -0.132451,      -0.010782,      -0.001796,      -0.000877,      -0.000623,      -0.000485,      -0.000557,
   21.000000,      -1.000000,      -0.999905,      -0.993389,      -0.834428,      -0.165473,      -0.013353,      -0.001992,      -0.000899,      -0.000629,      -0.000489,      -0.000589,
   21.500000,      -1.000000,      -0.999930,      -0.994905,      -0.871692,      -0.205334,      -0.016619,      -0.002238,      -0.000924,      -0.000634,      -0.000492,      -0.000625,
   22.000000,      -1.000000,      -0.999949,      -0.996058,      -0.901333,      -0.252591,      -0.020765,      -0.002548,      -0.000954,      -0.000640,      -0.000494,      -0.000668,
   22.500000,      -1.000000,      -0.999963,      -0.996939,      -0.924495,      -0.307370,      -0.026024,      -0.002937,      -0.000990,      -0.000645,      -0.000497,      -0.000717,
   23.000000,      -1.000000,      -0.999974,      -0.997614,      -0.942368,      -0.369151,      -0.032685,      -0.003428,      -0.001034,      -0.000652,      -0.000500,      -0.000774,
   23.500000,      -1.000000,      -0.999981,      -0.998134,      -0.956046,      -0.436591,      -0.041107,      -0.004048,      -0.001088,      -0.000659,      -0.000503,      -0.000841,
   24.000000,      -1.000000,      -0.999987,      -0.998536,      -0.966460,      -0.507496,      -0.051730,      -0.004832,      -0.001154,      -0.000667,      -0.000506,      -0.000919,
   24.500000,      -1.000000,      -0.999990,      -0.998847,      -0.974368,      -0.579015,      -0.065088,      -0.005822,      -0.001237,      -0.000677,      -0.000510,      -0.001009,
   25.000000,      -1.000000,      -0.999993,      -0.999089,      -0.980369,      -0.648066,      -0.081812,      -0.007074,      -0.001339,      -0.000688,      -0.000515,      -0.001115,
   25.500000,      -1.000000,      -0.999995,      -0.999278,      -0.984925,      -0.711875,      -0.102630,      -0.008658,      -0.001466,      -0.000702,      -0.000522,      -0.001238,
   26.000000,      -1.000000,      -0.999997,      -0.999427,      -0.988389,      -0.768439,      -0.128351,      -0.010661,      -0.001625,      -0.000719,      -0.000529,      -0.001380,
   26.500000,      -1.000000,      -0.999998,      -0.999543,      -0.991028,      -0.816746,      -0.159813,      -0.013193,      -0.001824,      -0.000739,      -0.000538,      -0.001545,
   27.000000,      -1.000000,      -0.999998,      -0.999635,      -0.993044,      -0.856714,      -0.197806,      -0.016396,      -0.002073,      -0.000764,      -0.000549,      -0.001735,
   27.500000,      -1.000000,      -0.999999,      -0.999708,      -0.994589,      -0.888949,      -0.242933,      -0.020444,      -0.002385,      -0.000794,      -0.000562,      -0.001954,
   28.000000,      -1.000000,      -0.999999,      -0.999766,      -0.995777,      -0.914441,      -0.295434,      -0.025557,      -0.002776,      -0.000831,      -0.000578,      -0.002205,
   28.500000,      -1.000000,      -1.000000,      -0.999812,      -0.996692,      -0.934314,      -0.354971,      -0.032010,      -0.003268,      -0.000877,      -0.000597,      -0.002493,
   29.000000,      -1.000000,      -1.000000,      -0.999848,      -0.997400,      -0.949653,      -0.420447,      -0.040142,      -0.003886,      -0.000933,      -0.000620,      -0.002821,
   29.500000,      -1.000000,      -1.000000,      -0.999877,      -0.997950,      -0.961417,      -0.489937,      -0.050373,      -0.004663,      -0.001001,      -0.000647,      -0.003194,
   30.000000,      -1.000000,      -1.000000,      -0.999901,      -0.998378,      -0.970406,      -0.560807,      -0.063206,      -0.005641,      -0.001086,      -0.000679,      -0.003617,
   30.500000,      -1.000000,      -1.000000,      -0.999920,      -0.998713,      -0.977263,      -0.630073,      -0.079246,      -0.006873,      -0.001191,      -0.000718,      -0.004094,
   31.000000,      -1.000000,      -1.000000,      -0.999935,      -0.998975,      -0.982492,      -0.694901,      -0.099192,      -0.008425,      -0.001321,      -0.000764,      -0.004630,
   31.500000,      -1.000000,      -1.000000,      -0.999947,      -0.999182,      -0.986484,      -0.753097,      -0.123823,      -0.010381,      -0.001482,      -0.000819,      -0.005230,
   32.000000,      -1.000000,      -1.000000,      -0.999957,      -0.999345,      -0.989535,      -0.803388,      -0.153966,      -0.012847,      -0.001683,      -0.000884,      -0.005898,
   32.500000,      -1.000000,      -1.000000,      -0.999965,      -0.999474,      -0.991874,      -0.845439,      -0.190415,      -0.015956,      -0.001933,      -0.000961,      -0.006640,
   33.000000,      -1.000000,      -1.000000,      -0.999971,      -0.999576,      -0.993670,      -0.879665,      -0.233816,      -0.019875,      -0.002245,      -0.001053,      -0.007460,
   33.500000,      -1.000000,      -1.000000,      -0.999977,      -0.999658,      -0.995053,      -0.906939,      -0.284497,      -0.024814,      -0.002634,      -0.001162,      -0.008360,
   34.000000,      -1.000000,      -1.000000,      -0.999981,      -0.999723,      -0.996122,      -0.928335,      -0.342267,      -0.031035,      -0.003121,      -0.001293,      -0.009345,
   34.500000,      -1.000000,      -1.000000,      -0.999984,      -0.999775,      -0.996950,      -0.944934,      -0.406220,      -0.038862,      -0.003732,      -0.001448,      -0.010417,
   35.000000,      -1.000000,      -1.000000,      -0.999987,      -0.999817,      -0.997594,      -0.957717,      -0.474638,      -0.048693,      -0.004497,      -0.001634,      -0.011578,
   35.500000,      -1.000000,      -1.000000,      -0.999990,      -0.999851,      -0.998096,      -0.967516,      -0.545061,      -0.061014,      -0.005457,      -0.001857,      -0.012828,
   36.000000,      -1.000000,      -1.000000,      -0.999991,      -0.999878,      -0.998488,      -0.975011,      -0.614586,      -0.076403,      -0.006662,      -0.002123,      -0.014167,
   36.500000,      -1.000000,      -1.000000,      -0.999993,      -0.999900,      -0.998796,      -0.980740,      -0.680338,      -0.095536,      -0.008177,      -0.002442,      -0.015595,
   37.000000,      -1.000000,      -1.000000,      -0.999994,      -0.999918,      -0.999039,      -0.985120,      -0.739965,      -0.119173,      -0.010082,      -0.002825,      -0.017108,
   37.500000,      -1.000000,      -1.000000,      -0.999995,      -0.999933,      -0.999230,      -0.988473,      -0.791981,      -0.148129,      -0.012479,      -0.003284,      -0.018706,
   38.000000,      -1.000000,      -1.000000,      -0.999996,      -0.999945,      -0.999382,      -0.991046,      -0.835840,      -0.183205,      -0.015495,      -0.003837,      -0.020384,
