alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    21.09 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     7.074376E-09,    -1.446319E-03,    -4.941622E-04,    -2.188364E-04,    -1.120319E-04,    -6.217205E-05,    -3.589201E-05,    -2.085852E-05,    -1.174908E-05,    -5.992199E-06,    -2.249121E-06,
  5.000000E-01,     7.074376E-09,    -1.034597E-02,    -4.337891E-03,    -1.927785E-03,    -9.695976E-04,    -5.306783E-04,    -3.037075E-04,    -1.754643E-04,    -9.826934E-05,    -4.963337E-05,    -1.801279E-05,
  1.000000E+00,     7.074376E-09,    -1.441811E-02,    -7.790965E-03,    -3.540677E-03,    -1.790285E-03,    -9.816603E-04,    -5.621119E-04,    -3.245934E-04,    -1.814158E-04,    -9.110646E-05,    -3.234026E-05,
  1.500000E+00,     7.074376E-09,    -1.101572E-02,    -1.053414E-02,    -4.974060E-03,    -2.541176E-03,    -1.399256E-03,    -8.025216E-04,    -4.632347E-04,    -2.581040E-04,    -1.284406E-04,    -4.394016E-05,
  2.000000E+00,     7.074376E-09,     1.606186E-03,    -1.231137E-02,    -6.156758E-03,    -3.193138E-03,    -1.769106E-03,    -1.017054E-03,    -5.867401E-04,    -3.254519E-04,    -1.597832E-04,    -5.159232E-05,
  2.500000E+00,     7.074376E-09,     2.449519E-02,    -1.293996E-02,    -7.033560E-03,    -3.722067E-03,    -2.078852E-03,    -1.198756E-03,    -6.909416E-04,    -3.808451E-04,    -1.834393E-04,    -5.417349E-05,
  3.000000E+00,     7.074376E-09,     5.819686E-02,    -1.230752E-02,    -7.567409E-03,    -4.109841E-03,    -2.318553E-03,    -1.341804E-03,    -7.722593E-04,    -4.219991E-04,    -1.979097E-04,    -5.068183E-05,
  3.500000E+00,     7.074376E-09,     1.027812E-01,    -1.035726E-02,    -7.739904E-03,    -4.344904E-03,    -2.480998E-03,    -1.441673E-03,    -8.277939E-04,    -4.470133E-04,    -2.019245E-04,    -4.025884E-05,
  4.000000E+00,     7.074376E-09,     1.575890E-01,    -7.064241E-03,    -7.550103E-03,    -4.422445E-03,    -2.561884E-03,    -1.495251E-03,    -8.553962E-04,    -4.544153E-04,    -1.944713E-04,    -2.220794E-05,
  4.500000E+00,     7.074376E-09,     2.206633E-01,    -2.406494E-03,    -7.011845E-03,    -4.344161E-03,    -2.559862E-03,    -1.500893E-03,    -8.537120E-04,    -4.431910E-04,    -1.748163E-04,     3.990995E-06,
  5.000000E+00,     7.074376E-09,     2.879871E-01,     3.665834E-03,    -6.149896E-03,    -4.117670E-03,    -2.476437E-03,    -1.458426E-03,    -8.221994E-04,    -4.128019E-04,    -1.425173E-04,     3.867150E-05,
  5.500000E+00,     7.074376E-09,     3.529254E-01,     1.126014E-02,    -4.995277E-03,    -3.755599E-03,    -2.315756E-03,    -1.369095E-03,    -7.611196E-04,    -3.631882E-04,    -9.742977E-05,     8.197499E-05,
  6.000000E+00,     7.074376E-09,     4.065717E-01,     2.056721E-02,    -3.580149E-03,    -3.274453E-03,    -2.084284E-03,    -1.235459E-03,    -6.715019E-04,    -2.947576E-04,    -3.970440E-05,     1.338500E-04,
  6.500000E+00,     7.074376E-09,     4.396538E-01,     3.188047E-02,    -1.932538E-03,    -2.693336E-03,    -1.790396E-03,    -1.061241E-03,    -5.550855E-04,    -2.083612E-04,     3.022292E-05,     1.940557E-04,
  7.000000E+00,     7.074376E-09,     4.457925E-01,     4.560504E-02,    -7.114832E-05,    -2.032611E-03,    -1.443919E-03,    -8.511472E-04,    -4.142411E-04,    -1.052583E-04,     1.116480E-04,     2.621705E-04,
  7.500000E+00,     7.074376E-09,     4.244557E-01,     6.225064E-02,     1.999650E-03,    -1.312561E-03,    -1.055637E-03,    -6.106610E-04,    -2.518761E-04,     1.293018E-05,     2.036218E-04,     3.376037E-04,
  8.000000E+00,     7.074376E-09,     3.814170E-01,     8.239912E-02,     4.294630E-03,    -5.521343E-04,    -6.367994E-04,    -3.458190E-04,    -7.132841E-05,     1.442753E-04,     3.049788E-04,     4.196114E-04,
  8.500000E+00,     7.074376E-09,     3.261712E-01,     1.066323E-01,     6.852417E-03,     2.322159E-04,    -1.986423E-04,    -6.298620E-05,     1.237480E-04,     2.866005E-04,     4.143708E-04,     5.073155E-04,
  9.000000E+00,     7.074376E-09,     2.681588E-01,     1.354013E-01,     9.740247E-03,     1.027558E-03,     2.480506E-04,     2.313664E-04,     3.294995E-04,     4.375455E-04,     5.303026E-04,     5.997242E-04,
  9.500000E+00,     7.074376E-09,     2.141598E-01,     1.688193E-01,     1.305898E-02,     1.825382E-03,     6.933350E-04,     5.308693E-04,     5.419889E-04,     5.946323E-04,     6.511711E-04,     6.957552E-04,
  1.000000E+01,     7.074376E-09,     1.676834E-01,     2.063703E-01,     1.694853E-02,     2.622398E-03,     1.128432E-03,     8.294432E-04,     7.573054E-04,     7.553302E-04,     7.753043E-04,     7.942597E-04,
  1.050000E+01,     7.074376E-09,     1.296841E-01,     2.465682E-01,     2.159382E-02,     3.421266E-03,     1.545990E-03,     1.121461E-03,     9.716661E-04,     9.171187E-04,     9.010002E-04,     8.940465E-04,
  1.100000E+01,     7.074376E-09,     9.962395E-02,     2.866709E-01,     2.723111E-02,     4.231319E-03,     1.940285E-03,     1.401882E-03,     1.181507E-03,     1.077546E-03,     1.026565E-03,     9.939061E-04,
  1.150000E+01,     7.074376E-09,     7.632326E-02,     3.226518E-01,     3.415411E-02,     5.069346E-03,     2.307360E-03,     1.666355E-03,     1.383558E-03,     1.234283E-03,     1.150350E-03,     1.092634E-03,
  1.200000E+01,     7.074376E-09,     5.847210E-02,     3.496762E-01,     4.271855E-02,     5.960515E-03,     2.645121E-03,     1.911292E-03,     1.574908E-03,     1.385167E-03,     1.270779E-03,     1.189052E-03,
  1.250000E+01,     7.074376E-09,     4.487486E-02,     3.632022E-01,     5.334286E-02,     6.939537E-03,     2.953395E-03,     2.133906E-03,     1.753048E-03,     1.528245E-03,     1.386385E-03,     1.282029E-03,
  1.300000E+01,     7.074376E-09,     3.453586E-02,     3.604497E-01,     6.650030E-02,     8.052168E-03,     3.233975E-03,     2.332237E-03,     1.915904E-03,     1.661796E-03,     1.495828E-03,     1.370497E-03,
  1.350000E+01,     7.074376E-09,     2.666626E-02,     3.415487E-01,     8.269587E-02,     9.357159E-03,     3.490661E-03,     2.505134E-03,     2.061852E-03,     1.784363E-03,     1.597917E-03,     1.453466E-03,
  1.400000E+01,     7.074376E-09,     2.065912E-02,     3.096369E-01,     1.024174E-01,     1.092878E-02,     3.729324E-03,     2.652239E-03,     2.189724E-03,     1.894758E-03,     1.691625E-03,     1.530037E-03,
  1.450000E+01,     7.074376E-09,     1.605555E-02,     2.697685E-01,     1.260477E-01,     1.286003E-02,     3.958013E-03,     2.773945E-03,     2.298793E-03,     1.992073E-03,     1.776102E-03,     1.599411E-03,
  1.500000E+01,     7.074376E-09,     1.251202E-02,     2.272675E-01,     1.537236E-01,     1.526663E-02,     4.187127E-03,     2.871349E-03,     2.388754E-03,     2.075677E-03,     1.850675E-03,     1.660891E-03,
  1.550000E+01,     7.074376E-09,     9.772414E-03,     1.864015E-01,     1.851345E-01,     1.829184E-02,     4.429687E-03,     2.946207E-03,     2.459698E-03,     2.145205E-03,     1.914852E-03,     1.713890E-03,
  1.600000E+01,     7.074376E-09,     7.645671E-03,     1.498277E-01,     2.192765E-01,     2.211213E-02,     4.701722E-03,     3.000887E-03,     2.512076E-03,     2.200549E-03,     1.968322E-03,     1.757925E-03,
  1.650000E+01,     7.074376E-09,     5.988636E-03,     1.187106E-01,     2.542188E-01,     2.694341E-02,     5.022829E-03,     3.038335E-03,     2.546656E-03,     2.241836E-03,     2.010941E-03,     1.792617E-03,
  1.700000E+01,     7.074376E-09,     4.693408E-03,     9.315702E-02,     2.870063E-01,     3.304730E-02,     5.416916E-03,     3.062057E-03,     2.564488E-03,     2.269407E-03,     2.042729E-03,     1.817682E-03,
  1.750000E+01,     7.074376E-09,     3.678162E-03,     7.267635E-02,     3.138690E-01,     4.073629E-02,     5.913200E-03,     3.076118E-03,     2.566859E-03,     2.283790E-03,     2.063853E-03,     1.832925E-03,
  1.800000E+01,     7.074376E-09,     2.880531E-03,     5.652553E-02,     3.308745E-01,     5.037574E-02,     6.547505E-03,     3.085176E-03,     2.555254E-03,     2.285679E-03,     2.074615E-03,     1.838227E-03,
  1.850000E+01,     7.074376E-09,     2.252796E-03,     4.392048E-02,     3.349654E-01,     6.237911E-02,     7.363926E-03,     3.094543E-03,     2.531323E-03,     2.275898E-03,     2.075432E-03,     1.833533E-03,
  1.900000E+01,     7.074376E-09,     1.758308E-03,     3.414323E-02,     3.250163E-01,     7.719072E-02,     8.416943E-03,     3.110298E-03,     2.496850E-03,     2.255384E-03,     2.066824E-03,     1.818836E-03,
  1.950000E+01,     7.074376E-09,     1.368776E-03,     2.658347E-02,     3.023530E-01,     9.524768E-02,     9.774053E-03,     3.139442E-03,     2.453727E-03,     2.225153E-03,     2.049391E-03,     1.794166E-03,
  2.000000E+01,     7.074376E-09,     1.062208E-03,     2.074450E-02,     2.703790E-01,     1.169098E-01,     1.151903E-02,     3.190124E-03,     2.403946E-03,     2.186279E-03,     2.023801E-03,     1.759566E-03,
  2.050000E+01,     7.074376E-09,     8.213689E-04,     1.623273E-02,     2.334809E-01,     1.423452E-01,     1.375591E-02,     3.271940E-03,     2.349588E-03,     2.139875E-03,     1.990764E-03,     1.715085E-03,
  2.100000E+01,     7.074376E-09,     6.326377E-04,     1.274142E-02,     1.958020E-01,     1.713637E-01,     1.661366E-02,     3.396327E-03,     2.292832E-03,     2.087068E-03,     1.951025E-03,     1.660751E-03,
