alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    21.24 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     3.058542E+00,     3.105154E+00,     3.112053E+00,     3.114895E+00,     3.116610E+00,     3.117691E+00,     3.118376E+00,     3.118810E+00,     3.119087E+00,     3.119265E+00,
  5.000000E-01,     1.000000E+00,     3.054303E+00,     3.104974E+00,     3.112047E+00,     3.114897E+00,     3.116610E+00,     3.117692E+00,     3.118376E+00,     3.118810E+00,     3.119087E+00,     3.119265E+00,
  1.000000E+00,     1.000000E+00,     3.043233E+00,     3.104488E+00,     3.112029E+00,     3.114900E+00,     3.116612E+00,     3.117692E+00,     3.118376E+00,     3.118810E+00,     3.119087E+00,     3.119265E+00,
  1.500000E+00,     1.000000E+00,     3.023845E+00,     3.103636E+00,     3.111995E+00,     3.114904E+00,     3.116615E+00,     3.117693E+00,     3.118376E+00,     3.118810E+00,     3.119088E+00,     3.119265E+00,
  2.000000E+00,     1.000000E+00,     2.993801E+00,     3.102319E+00,     3.111939E+00,     3.114909E+00,     3.116618E+00,     3.117695E+00,     3.118377E+00,     3.118811E+00,     3.119088E+00,     3.119266E+00,
  2.500000E+00,     1.000000E+00,     2.950016E+00,     3.100389E+00,     3.111848E+00,     3.114913E+00,     3.116622E+00,     3.117696E+00,     3.118378E+00,     3.118811E+00,     3.119088E+00,     3.119266E+00,
  3.000000E+00,     1.000000E+00,     2.888897E+00,     3.097641E+00,     3.111710E+00,     3.114913E+00,     3.116625E+00,     3.117697E+00,     3.118378E+00,     3.118812E+00,     3.119088E+00,     3.119266E+00,
  3.500000E+00,     1.000000E+00,     2.806797E+00,     3.093802E+00,     3.111505E+00,     3.114908E+00,     3.116626E+00,     3.117698E+00,     3.118378E+00,     3.118812E+00,     3.119089E+00,     3.119267E+00,
  4.000000E+00,     1.000000E+00,     2.700742E+00,     3.088511E+00,     3.111211E+00,     3.114895E+00,     3.116626E+00,     3.117698E+00,     3.118378E+00,     3.118812E+00,     3.119089E+00,     3.119267E+00,
  4.500000E+00,     1.000000E+00,     2.569427E+00,     3.081298E+00,     3.110798E+00,     3.114870E+00,     3.116624E+00,     3.117696E+00,     3.118377E+00,     3.118811E+00,     3.119089E+00,     3.119267E+00,
