#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   119.74 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.470662E-09,    -3.160310E-02,    -2.099315E-03,    -2.832226E-04,    -1.229888E-04,    -7.908464E-05,    -5.185283E-05,    -3.378902E-05,    -2.216768E-05,    -1.480839E-05,    -1.015567E-05,
  5.000000E-01,     1.470662E-09,    -3.428651E-02,    -2.225682E-03,    -2.932149E-04,    -1.246411E-04,    -7.975820E-05,    -5.224606E-05,    -3.404160E-05,    -2.234018E-05,    -1.493442E-05,    -1.025460E-05,
  1.000000E+00,     1.470662E-09,    -4.108475E-02,    -2.563344E-03,    -3.209768E-04,    -1.292341E-04,    -8.142566E-05,    -5.311529E-05,    -3.455065E-05,    -2.265587E-05,    -1.513935E-05,    -1.039359E-05,
  1.500000E+00,     1.470662E-09,    -5.232341E-02,    -3.131051E-03,    -3.669556E-04,    -1.365818E-04,    -8.399398E-05,    -5.442233E-05,    -3.530233E-05,    -2.311288E-05,    -1.542808E-05,    -1.058185E-05,
  2.000000E+00,     1.470662E-09,    -6.851781E-02,    -3.963277E-03,    -4.324403E-04,    -1.465367E-04,    -8.736519E-05,    -5.612335E-05,    -3.627747E-05,    -2.370362E-05,    -1.579906E-05,    -1.082137E-05,
  2.500000E+00,     1.470662E-09,    -9.022358E-02,    -5.113470E-03,    -5.197412E-04,    -1.589908E-04,    -9.143163E-05,    -5.816707E-05,    -3.745185E-05,    -2.441640E-05,    -1.624696E-05,    -1.111028E-05,
  3.000000E+00,     1.470662E-09,    -1.177806E-01,    -6.658214E-03,    -6.324966E-04,    -1.738984E-04,    -9.607763E-05,    -6.049484E-05,    -3.879654E-05,    -2.523627E-05,    -1.676379E-05,    -1.144436E-05,
  3.500000E+00,     1.470662E-09,    -1.509429E-01,    -8.702109E-03,    -7.760853E-04,    -1.913143E-04,    -1.011853E-04,    -6.304228E-05,    -4.027872E-05,    -2.614564E-05,    -1.733965E-05,    -1.181786E-05,
  4.000000E+00,     1.470662E-09,    -1.884233E-01,    -1.138318E-02,    -9.581409E-04,    -2.114440E-04,    -1.066432E-04,    -6.574184E-05,    -4.186282E-05,    -2.712499E-05,    -1.796326E-05,    -1.222397E-05,
  4.500000E+00,     1.470662E-09,    -2.274714E-01,    -1.487856E-02,    -1.189174E-03,    -2.347019E-04,    -1.123560E-04,    -6.852592E-05,    -4.351188E-05,    -2.815361E-05,    -1.862240E-05,    -1.265516E-05,
