alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    21.34 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     1.638413E+00,     1.652639E+00,     1.656638E+00,     1.658189E+00,     1.658820E+00,     1.659041E+00,     1.659063E+00,     1.658983E+00,     1.658849E+00,     1.658686E+00,
  5.000000E-01,     1.000000E+00,     1.640140E+00,     1.653005E+00,     1.656762E+00,     1.658238E+00,     1.658838E+00,     1.659045E+00,     1.659060E+00,     1.658976E+00,     1.658840E+00,     1.658676E+00,
  1.000000E+00,     1.000000E+00,     1.644021E+00,     1.653912E+00,     1.657074E+00,     1.658361E+00,     1.658883E+00,     1.659054E+00,     1.659051E+00,     1.658957E+00,     1.658816E+00,     1.658650E+00,
  1.500000E+00,     1.000000E+00,     1.648741E+00,     1.655236E+00,     1.657540E+00,     1.658545E+00,     1.658950E+00,     1.659066E+00,     1.659034E+00,     1.658926E+00,     1.658776E+00,     1.658607E+00,
  2.000000E+00,     1.000000E+00,     1.652697E+00,     1.656808E+00,     1.658114E+00,     1.658772E+00,     1.659031E+00,     1.659076E+00,     1.659008E+00,     1.658881E+00,     1.658722E+00,     1.658547E+00,
  2.500000E+00,     1.000000E+00,     1.654249E+00,     1.658433E+00,     1.658739E+00,     1.659022E+00,     1.659115E+00,     1.659080E+00,     1.658970E+00,     1.658821E+00,     1.658650E+00,     1.658470E+00,
  3.000000E+00,     1.000000E+00,     1.651749E+00,     1.659929E+00,     1.659357E+00,     1.659269E+00,     1.659192E+00,     1.659071E+00,     1.658918E+00,     1.658745E+00,     1.658562E+00,     1.658376E+00,
  3.500000E+00,     1.000000E+00,     1.643384E+00,     1.661139E+00,     1.659909E+00,     1.659488E+00,     1.659248E+00,     1.659045E+00,     1.658847E+00,     1.658650E+00,     1.658455E+00,     1.658264E+00,
  4.000000E+00,     1.000000E+00,     1.626957E+00,     1.661946E+00,     1.660348E+00,     1.659657E+00,     1.659274E+00,     1.658994E+00,     1.658755E+00,     1.658536E+00,     1.658330E+00,     1.658134E+00,
  4.500000E+00,     1.000000E+00,     1.599806E+00,     1.662277E+00,     1.660636E+00,     1.659755E+00,     1.659258E+00,     1.658913E+00,     1.658638E+00,     1.658400E+00,     1.658185E+00,     1.657986E+00,
  5.000000E+00,     1.000000E+00,     1.559126E+00,     1.662088E+00,     1.660749E+00,     1.659768E+00,     1.659192E+00,     1.658798E+00,     1.658494E+00,     1.658241E+00,     1.658020E+00,     1.657819E+00,
  5.500000E+00,     1.000000E+00,     1.502960E+00,     1.661345E+00,     1.660678E+00,     1.659686E+00,     1.659069E+00,     1.658643E+00,     1.658321E+00,     1.658059E+00,     1.657834E+00,     1.657633E+00,
  6.000000E+00,     1.000000E+00,     1.431898E+00,     1.660002E+00,     1.660427E+00,     1.659504E+00,     1.658885E+00,     1.658448E+00,     1.658118E+00,     1.657852E+00,     1.657627E+00,     1.657430E+00,
  6.500000E+00,     1.000000E+00,     1.350713E+00,     1.657960E+00,     1.660009E+00,     1.659224E+00,     1.658639E+00,     1.658211E+00,     1.657883E+00,     1.657620E+00,     1.657400E+00,     1.657208E+00,
  7.000000E+00,     1.000000E+00,     1.268167E+00,     1.655029E+00,     1.659446E+00,     1.658851E+00,     1.658333E+00,     1.657931E+00,     1.657617E+00,     1.657364E+00,     1.657152E+00,     1.656969E+00,
  7.500000E+00,     1.000000E+00,     1.193816E+00,     1.650871E+00,     1.658762E+00,     1.658397E+00,     1.657969E+00,     1.657611E+00,     1.657321E+00,     1.657084E+00,     1.656885E+00,     1.656713E+00,
  8.000000E+00,     1.000000E+00,     1.133860E+00,     1.644937E+00,     1.657983E+00,     1.657873E+00,     1.657555E+00,     1.657254E+00,     1.656997E+00,     1.656782E+00,     1.656600E+00,     1.656442E+00,
  8.500000E+00,     1.000000E+00,     1.089587E+00,     1.636384E+00,     1.657129E+00,     1.657294E+00,     1.657097E+00,     1.656863E+00,     1.656648E+00,     1.656460E+00,     1.656298E+00,     1.656156E+00,
  9.000000E+00,     1.000000E+00,     1.058849E+00,     1.623990E+00,     1.656215E+00,     1.656675E+00,     1.656604E+00,     1.656444E+00,     1.656275E+00,     1.656120E+00,     1.655981E+00,     1.655858E+00,
  9.500000E+00,     1.000000E+00,     1.038318E+00,     1.606094E+00,     1.655246E+00,     1.656032E+00,     1.656084E+00,     1.656002E+00,     1.655884E+00,     1.655764E+00,     1.655651E+00,     1.655548E+00,
  1.000000E+01,     1.000000E+00,     1.024898E+00,     1.580626E+00,     1.654209E+00,     1.655378E+00,     1.655548E+00,     1.655544E+00,     1.655478E+00,     1.655395E+00,     1.655310E+00,     1.655229E+00,
  1.050000E+01,     1.000000E+00,     1.016213E+00,     1.545339E+00,     1.653073E+00,     1.654726E+00,     1.655003E+00,     1.655074E+00,     1.655061E+00,     1.655016E+00,     1.654961E+00,     1.654903E+00,
  1.100000E+01,     1.000000E+00,     1.010608E+00,     1.498399E+00,     1.651775E+00,     1.654086E+00,     1.654459E+00,     1.654599E+00,     1.654638E+00,     1.654632E+00,     1.654605E+00,     1.654571E+00,
  1.150000E+01,     1.000000E+00,     1.006985E+00,     1.439410E+00,     1.650212E+00,     1.653466E+00,     1.653922E+00,     1.654126E+00,     1.654213E+00,     1.654244E+00,     1.654246E+00,     1.654235E+00,
  1.200000E+01,     1.000000E+00,     1.004634E+00,     1.370587E+00,     1.648220E+00,     1.652869E+00,     1.653398E+00,     1.653658E+00,     1.653790E+00,     1.653856E+00,     1.653887E+00,     1.653898E+00,
  1.250000E+01,     1.000000E+00,     1.003097E+00,     1.297258E+00,     1.645549E+00,     1.652300E+00,     1.652894E+00,     1.653200E+00,     1.653372E+00,     1.653471E+00,     1.653528E+00,     1.653562E+00,
  1.300000E+01,     1.000000E+00,     1.002087E+00,     1.226644E+00,     1.641823E+00,     1.651757E+00,     1.652413E+00,     1.652757E+00,     1.652963E+00,     1.653091E+00,     1.653174E+00,     1.653228E+00,
  1.350000E+01,     1.000000E+00,     1.001417E+00,     1.165158E+00,     1.636493E+00,     1.651235E+00,     1.651959E+00,     1.652332E+00,     1.652567E+00,     1.652720E+00,     1.652825E+00,     1.652899E+00,
  1.400000E+01,     1.000000E+00,     1.000969E+00,     1.116159E+00,     1.628766E+00,     1.650727E+00,     1.651532E+00,     1.651927E+00,     1.652184E+00,     1.652360E+00,     1.652484E+00,     1.652576E+00,
  1.450000E+01,     1.000000E+00,     1.000668E+00,     1.079718E+00,     1.617534E+00,     1.650218E+00,     1.651133E+00,     1.651544E+00,     1.651819E+00,     1.652012E+00,     1.652154E+00,     1.652261E+00,
  1.500000E+01,     1.000000E+00,     1.000463E+00,     1.053903E+00,     1.601313E+00,     1.649687E+00,     1.650764E+00,     1.651184E+00,     1.651471E+00,     1.651679E+00,     1.651834E+00,     1.651954E+00,
  1.550000E+01,     1.000000E+00,     1.000323E+00,     1.036174E+00,     1.578251E+00,     1.649101E+00,     1.650422E+00,     1.650847E+00,     1.651143E+00,     1.651360E+00,     1.651527E+00,     1.651658E+00,
  1.600000E+01,     1.000000E+00,     1.000227E+00,     1.024216E+00,     1.546281E+00,     1.648412E+00,     1.650108E+00,     1.650535E+00,     1.650834E+00,     1.651059E+00,     1.651233E+00,     1.651374E+00,
