alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    21.34 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     1.894133E+00,     1.884036E+00,     1.881317E+00,     1.880442E+00,     1.880158E+00,     1.880121E+00,     1.880206E+00,     1.880353E+00,     1.880534E+00,     1.880732E+00,
  5.000000E-01,     1.000000E+00,     1.891350E+00,     1.883614E+00,     1.881174E+00,     1.880386E+00,     1.880137E+00,     1.880117E+00,     1.880209E+00,     1.880361E+00,     1.880544E+00,     1.880743E+00,
  1.000000E+00,     1.000000E+00,     1.884619E+00,     1.882565E+00,     1.880817E+00,     1.880246E+00,     1.880085E+00,     1.880106E+00,     1.880220E+00,     1.880383E+00,     1.880571E+00,     1.880773E+00,
  1.500000E+00,     1.000000E+00,     1.874708E+00,     1.881028E+00,     1.880283E+00,     1.880034E+00,     1.880008E+00,     1.880092E+00,     1.880238E+00,     1.880418E+00,     1.880616E+00,     1.880822E+00,
  2.000000E+00,     1.000000E+00,     1.861958E+00,     1.879190E+00,     1.879625E+00,     1.879772E+00,     1.879914E+00,     1.880080E+00,     1.880267E+00,     1.880469E+00,     1.880678E+00,     1.880889E+00,
  2.500000E+00,     1.000000E+00,     1.845699E+00,     1.877254E+00,     1.878905E+00,     1.879485E+00,     1.879817E+00,     1.880075E+00,     1.880309E+00,     1.880536E+00,     1.880758E+00,     1.880976E+00,
  3.000000E+00,     1.000000E+00,     1.823876E+00,     1.875403E+00,     1.878192E+00,     1.879198E+00,     1.879727E+00,     1.880083E+00,     1.880369E+00,     1.880622E+00,     1.880859E+00,     1.881083E+00,
  3.500000E+00,     1.000000E+00,     1.792973E+00,     1.873773E+00,     1.877547E+00,     1.878941E+00,     1.879658E+00,     1.880111E+00,     1.880448E+00,     1.880729E+00,     1.880979E+00,     1.881210E+00,
  4.000000E+00,     1.000000E+00,     1.748395E+00,     1.872428E+00,     1.877026E+00,     1.878739E+00,     1.879624E+00,     1.880166E+00,     1.880551E+00,     1.880858E+00,     1.881121E+00,     1.881357E+00,
  4.500000E+00,     1.000000E+00,     1.685651E+00,     1.871347E+00,     1.876669E+00,     1.878615E+00,     1.879636E+00,     1.880255E+00,     1.880682E+00,     1.881011E+00,     1.881285E+00,     1.881525E+00,
  5.000000E+00,     1.000000E+00,     1.602583E+00,     1.870411E+00,     1.876501E+00,     1.878584E+00,     1.879704E+00,     1.880382E+00,     1.880844E+00,     1.881190E+00,     1.881472E+00,     1.881714E+00,
  5.500000E+00,     1.000000E+00,     1.502075E+00,     1.869394E+00,     1.876531E+00,     1.878659E+00,     1.879835E+00,     1.880553E+00,     1.881038E+00,     1.881396E+00,     1.881682E+00,     1.881924E+00,
  6.000000E+00,     1.000000E+00,     1.393266E+00,     1.867932E+00,     1.876752E+00,     1.878844E+00,     1.880034E+00,     1.880770E+00,     1.881266E+00,     1.881630E+00,     1.881916E+00,     1.882155E+00,
