alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    19.08 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
    0.000000,       1.000000,       1.614202,       1.641586,       1.649798,       1.653527,       1.655521,       1.656660,       1.657329,       1.657719,       1.657938,       1.658047,
    0.500000,       1.000000,       1.616003,       1.641988,       1.649960,       1.653606,       1.655563,       1.656685,       1.657343,       1.657727,       1.657942,       1.658049,
    1.000000,       1.000000,       1.619814,       1.643036,       1.650388,       1.653815,       1.655676,       1.656749,       1.657380,       1.657748,       1.657953,       1.658053,
    1.500000,       1.000000,       1.624474,       1.644633,       1.651059,       1.654146,       1.655856,       1.656851,       1.657439,       1.657781,       1.657970,       1.658060,
    2.000000,       1.000000,       1.628576,       1.646636,       1.651937,       1.654584,       1.656095,       1.656988,       1.657518,       1.657826,       1.657993,       1.658069,
    2.500000,       1.000000,       1.630629,       1.648874,       1.652977,       1.655113,       1.656385,       1.657155,       1.657614,       1.657880,       1.658020,       1.658078,
    3.000000,       1.000000,       1.629140,       1.651157,       1.654128,       1.655711,       1.656717,       1.657346,       1.657725,       1.657941,       1.658051,       1.658088,
    3.500000,       1.000000,       1.622647,       1.653292,       1.655333,       1.656355,       1.657079,       1.657555,       1.657846,       1.658008,       1.658083,       1.658098,
    4.000000,       1.000000,       1.609734,       1.655089,       1.656537,       1.657022,       1.657459,       1.657776,       1.657974,       1.658078,       1.658115,       1.658106,
    4.500000,       1.000000,       1.589079,       1.656370,       1.657687,       1.657688,       1.657845,       1.658002,       1.658103,       1.658148,       1.658146,       1.658111,
    5.000000,       1.000000,       1.559585,       1.656960,       1.658733,       1.658329,       1.658224,       1.658225,       1.658231,       1.658215,       1.658173,       1.658112,
    5.500000,       1.000000,       1.520628,       1.656689,       1.659631,       1.658925,       1.658584,       1.658438,       1.658352,       1.658276,       1.658196,       1.658108,
    6.000000,       1.000000,       1.472438,       1.655376,       1.660345,       1.659457,       1.658914,       1.658635,       1.658462,       1.658329,       1.658211,       1.658097,
    6.500000,       1.000000,       1.416481,       1.652816,       1.660844,       1.659908,       1.659205,       1.658809,       1.658557,       1.658372,       1.658217,       1.658079,
    7.000000,       1.000000,       1.355638,       1.648764,       1.661102,       1.660267,       1.659447,       1.658954,       1.658634,       1.658400,       1.658212,       1.658051,
    7.500000,       1.000000,       1.293875,       1.642915,       1.661099,       1.660524,       1.659635,       1.659067,       1.658689,       1.658413,       1.658195,       1.658013,
    8.000000,       1.000000,       1.235364,       1.634889,       1.660812,       1.660674,       1.659764,       1.659142,       1.658718,       1.658408,       1.658165,       1.657965,
