alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  Execution time =    21.40 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     9.999999E-01,     2.627120E+00,     2.640907E+00,     2.652275E+00,     2.661799E+00,     2.670199E+00,     2.677787E+00,     2.684753E+00,     2.691226E+00,     2.697299E+00,     2.703033E+00,
  5.000000E-01,     9.999999E-01,     2.626199E+00,     2.641090E+00,     2.652459E+00,     2.661932E+00,     2.670290E+00,     2.677848E+00,     2.684792E+00,     2.691250E+00,     2.697311E+00,     2.703036E+00,
  1.000000E+00,     9.999999E-01,     2.624494E+00,     2.641683E+00,     2.653015E+00,     2.662353E+00,     2.670604E+00,     2.678084E+00,     2.684972E+00,     2.691388E+00,     2.697417E+00,     2.703118E+00,
  1.500000E+00,     9.999999E-01,     2.622589E+00,     2.642692E+00,     2.653917E+00,     2.663040E+00,     2.671123E+00,     2.678480E+00,     2.685279E+00,     2.691628E+00,     2.697608E+00,     2.703270E+00,
  2.000000E+00,     9.999999E-01,     2.620870E+00,     2.644135E+00,     2.655143E+00,     2.663972E+00,     2.671829E+00,     2.679024E+00,     2.685704E+00,     2.691965E+00,     2.697877E+00,     2.703488E+00,
  2.500000E+00,     9.999999E-01,     2.618946E+00,     2.646013E+00,     2.656663E+00,     2.665124E+00,     2.672707E+00,     2.679703E+00,     2.686237E+00,     2.692390E+00,     2.698219E+00,     2.703765E+00,
  3.000000E+00,     9.999999E-01,     2.614947E+00,     2.648307E+00,     2.658439E+00,     2.666467E+00,     2.673734E+00,     2.680501E+00,     2.686867E+00,     2.692894E+00,     2.698627E+00,     2.704098E+00,
  3.500000E+00,     9.999999E-01,     2.604477E+00,     2.650960E+00,     2.660424E+00,     2.667966E+00,     2.674884E+00,     2.681400E+00,     2.687581E+00,     2.693467E+00,     2.699092E+00,     2.704479E+00,
  4.000000E+00,     9.999999E-01,     2.578807E+00,     2.653885E+00,     2.662564E+00,     2.669584E+00,     2.676132E+00,     2.682381E+00,     2.688363E+00,     2.694099E+00,     2.699607E+00,     2.704902E+00,
  4.500000E+00,     9.999999E-01,     2.522147E+00,     2.656962E+00,     2.664798E+00,     2.671280E+00,     2.677449E+00,     2.683421E+00,     2.689197E+00,     2.694776E+00,     2.700162E+00,     2.705360E+00,
