alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  Execution time =    21.55 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     9.999997E-01,     2.781951E+00,     2.782821E+00,     2.771913E+00,     2.760028E+00,     2.748705E+00,     2.738132E+00,     2.728243E+00,     2.718938E+00,     2.710131E+00,     2.701754E+00,
  5.000000E-01,     9.999997E-01,     2.783165E+00,     2.782792E+00,     2.771790E+00,     2.759915E+00,     2.748614E+00,     2.738061E+00,     2.728186E+00,     2.718893E+00,     2.710096E+00,     2.701726E+00,
  1.000000E+00,     9.999997E-01,     2.785668E+00,     2.782646E+00,     2.771442E+00,     2.759601E+00,     2.748357E+00,     2.737853E+00,     2.728019E+00,     2.718757E+00,     2.709984E+00,     2.701634E+00,
  1.500000E+00,     9.999997E-01,     2.788402E+00,     2.782332E+00,     2.770867E+00,     2.759089E+00,     2.747937E+00,     2.737513E+00,     2.727742E+00,     2.718530E+00,     2.709797E+00,     2.701478E+00,
  2.000000E+00,     9.999997E-01,     2.789996E+00,     2.781776E+00,     2.770063E+00,     2.758386E+00,     2.747362E+00,     2.737046E+00,     2.727361E+00,     2.718216E+00,     2.709536E+00,     2.701261E+00,
  2.500000E+00,     9.999997E-01,     2.788950E+00,     2.780904E+00,     2.769029E+00,     2.757501E+00,     2.746639E+00,     2.736458E+00,     2.726880E+00,     2.717820E+00,     2.709206E+00,     2.700984E+00,
  3.000000E+00,     9.999997E-01,     2.783634E+00,     2.779651E+00,     2.767770E+00,     2.756445E+00,     2.745779E+00,     2.735759E+00,     2.726307E+00,     2.717345E+00,     2.708810E+00,     2.700651E+00,
  3.500000E+00,     9.999997E-01,     2.772007E+00,     2.777977E+00,     2.766293E+00,     2.755231E+00,     2.744795E+00,     2.734958E+00,     2.725648E+00,     2.716799E+00,     2.708353E+00,     2.700267E+00,
  4.000000E+00,     9.999997E-01,     2.751015E+00,     2.775872E+00,     2.764615E+00,     2.753878E+00,     2.743701E+00,     2.734066E+00,     2.724914E+00,     2.716189E+00,     2.707841E+00,     2.699835E+00,
  4.500000E+00,     9.999997E-01,     2.715686E+00,     2.773361E+00,     2.762759E+00,     2.752405E+00,     2.742513E+00,     2.733096E+00,     2.724115E+00,     2.715523E+00,     2.707281E+00,     2.699361E+00,
  5.000000E+00,     9.999997E-01,     2.658076E+00,     2.770492E+00,     2.760754E+00,     2.750835E+00,     2.741249E+00,     2.732062E+00,     2.723259E+00,     2.714808E+00,     2.706678E+00,     2.698851E+00,
  5.500000E+00,     9.999997E-01,     2.566650E+00,     2.767330E+00,     2.758638E+00,     2.749192E+00,     2.739926E+00,     2.730979E+00,     2.722360E+00,     2.714054E+00,     2.706041E+00,     2.698309E+00,
  6.000000E+00,     9.999997E-01,     2.427661E+00,     2.763935E+00,     2.756452E+00,     2.747504E+00,     2.738565E+00,     2.729859E+00,     2.721427E+00,     2.713270E+00,     2.705376E+00,     2.697743E+00,
  6.500000E+00,     9.999997E-01,     2.231835E+00,     2.760341E+00,     2.754241E+00,     2.745795E+00,     2.737184E+00,     2.728719E+00,     2.720473E+00,     2.712464E+00,     2.704690E+00,     2.697157E+00,
  7.000000E+00,     9.999997E-01,     1.988890E+00,     2.756517E+00,     2.752048E+00,     2.744094E+00,     2.735803E+00,     2.727572E+00,     2.719510E+00,     2.711647E+00,     2.703992E+00,     2.696560E+00,
  7.500000E+00,     9.999997E-01,     1.737162E+00,     2.752324E+00,     2.749917E+00,     2.742427E+00,     2.734440E+00,     2.726434E+00,     2.718547E+00,     2.710827E+00,     2.703288E+00,     2.695955E+00,
  8.000000E+00,     9.999997E-01,     1.522017E+00,     2.747432E+00,     2.747886E+00,     2.740818E+00,     2.733112E+00,     2.725317E+00,     2.717597E+00,     2.710012E+00,     2.702586E+00,     2.695351E+00,
  8.500000E+00,     9.999997E-01,     1.363219E+00,     2.741196E+00,     2.745987E+00,     2.739289E+00,     2.731836E+00,     2.724234E+00,     2.716670E+00,     2.709213E+00,     2.701894E+00,     2.694752E+00,
  9.000000E+00,     9.999997E-01,     1.254612E+00,     2.732449E+00,     2.744244E+00,     2.737859E+00,     2.730626E+00,     2.723197E+00,     2.715774E+00,     2.708435E+00,     2.701216E+00,     2.694165E+00,
  9.500000E+00,     9.999997E-01,     1.181853E+00,     2.719149E+00,     2.742674E+00,     2.736544E+00,     2.729495E+00,     2.722215E+00,     2.714918E+00,     2.707687E+00,     2.700561E+00,     2.693595E+00,
  1.000000E+01,     9.999997E-01,     1.132648E+00,     2.697847E+00,     2.741283E+00,     2.735355E+00,     2.728453E+00,     2.721298E+00,     2.714111E+00,     2.706975E+00,     2.699933E+00,     2.693046E+00,
  1.050000E+01,     9.999997E-01,     1.098657E+00,     2.662924E+00,     2.740066E+00,     2.734301E+00,     2.727508E+00,     2.720453E+00,     2.713358E+00,     2.706305E+00,     2.699337E+00,     2.692524E+00,
  1.100000E+01,     9.999997E-01,     1.074614E+00,     2.605727E+00,     2.739004E+00,     2.733386E+00,     2.726665E+00,     2.719686E+00,     2.712664E+00,     2.705682E+00,     2.698779E+00,     2.692032E+00,
  1.150000E+01,     9.999997E-01,     1.057226E+00,     2.514201E+00,     2.738062E+00,     2.732611E+00,     2.725928E+00,     2.719000E+00,     2.712035E+00,     2.705109E+00,     2.698261E+00,     2.691575E+00,
  1.200000E+01,     9.999997E-01,     1.044404E+00,     2.374648E+00,     2.737179E+00,     2.731974E+00,     2.725299E+00,     2.718399E+00,     2.711473E+00,     2.704591E+00,     2.697787E+00,     2.691156E+00,
  1.250000E+01,     9.999997E-01,     1.034792E+00,     2.179010E+00,     2.736256E+00,     2.731469E+00,     2.724776E+00,     2.717884E+00,     2.710980E+00,     2.704129E+00,     2.697360E+00,     2.690777E+00,
  1.300000E+01,     9.999997E-01,     1.027483E+00,     1.939493E+00,     2.735128E+00,     2.731090E+00,     2.724357E+00,     2.717454E+00,     2.710558E+00,     2.703725E+00,     2.696981E+00,     2.690440E+00,
  1.350000E+01,     9.999997E-01,     1.021859E+00,     1.695742E+00,     2.733520E+00,     2.730827E+00,     2.724039E+00,     2.717108E+00,     2.710206E+00,     2.703381E+00,     2.696652E+00,     2.690149E+00,
  1.400000E+01,     9.999997E-01,     1.017488E+00,     1.490699E+00,     2.730969E+00,     2.730670E+00,     2.723816E+00,     2.716843E+00,     2.709923E+00,     2.703095E+00,     2.696373E+00,     2.689904E+00,
  1.450000E+01,     9.999997E-01,     1.014059E+00,     1.340770E+00,     2.726683E+00,     2.730607E+00,     2.723682E+00,     2.716657E+00,     2.709708E+00,     2.702867E+00,     2.696145E+00,     2.689705E+00,
  1.500000E+01,     9.999997E-01,     1.011350E+00,     1.238595E+00,     2.719313E+00,     2.730625E+00,     2.723630E+00,     2.716545E+00,     2.709558E+00,     2.702697E+00,     2.695967E+00,     2.689555E+00,
  1.550000E+01,     9.999997E-01,     1.009195E+00,     1.170189E+00,     2.706572E+00,     2.730709E+00,     2.723653E+00,     2.716503E+00,     2.709472E+00,     2.702583E+00,     2.695838E+00,     2.689454E+00,
  1.600000E+01,     9.999997E-01,     1.007471E+00,     1.123928E+00,     2.684645E+00,     2.730843E+00,     2.723744E+00,     2.716525E+00,     2.709444E+00,     2.702522E+00,     2.695757E+00,     2.689401E+00,
  1.650000E+01,     9.999997E-01,     1.006084E+00,     1.091986E+00,     2.647392E+00,     2.731007E+00,     2.723895E+00,     2.716606E+00,     2.709472E+00,     2.702512E+00,     2.695723E+00,     2.689397E+00,
  1.700000E+01,     9.999997E-01,     1.004964E+00,     1.069419E+00,     2.585502E+00,     2.731173E+00,     2.724099E+00,     2.716742E+00,     2.709551E+00,     2.702550E+00,     2.695733E+00,     2.689442E+00,
  1.750000E+01,     9.999997E-01,     1.004056E+00,     1.053131E+00,     2.486364E+00,     2.731300E+00,     2.724350E+00,     2.716925E+00,     2.709678E+00,     2.702633E+00,     2.695785E+00,     2.689536E+00,
  1.800000E+01,     9.999997E-01,     1.003316E+00,     1.041150E+00,     2.336588E+00,     2.731325E+00,     2.724640E+00,     2.717153E+00,     2.709849E+00,     2.702758E+00,     2.695877E+00,     2.689680E+00,
  1.850000E+01,     9.999997E-01,     1.002713E+00,     1.032193E+00,     2.130858E+00,     2.731146E+00,     2.724963E+00,     2.717418E+00,     2.710059E+00,     2.702922E+00,     2.696006E+00,     2.689873E+00,
  1.900000E+01,     9.999997E-01,     1.002219E+00,     1.025404E+00,     1.887110E+00,     2.730590E+00,     2.725315E+00,     2.717717E+00,     2.710304E+00,     2.703121E+00,     2.696170E+00,     2.690118E+00,
  1.950000E+01,     9.999997E-01,     1.001814E+00,     1.020196E+00,     1.648621E+00,     2.729360E+00,     2.725688E+00,     2.718044E+00,     2.710581E+00,     2.703352E+00,     2.696366E+00,     2.690415E+00,
  2.000000E+01,     9.999997E-01,     1.001482E+00,     1.016161E+00,     1.454613E+00,     2.726950E+00,     2.726079E+00,     2.718397E+00,     2.710885E+00,     2.703613E+00,     2.696593E+00,     2.690766E+00,
  2.050000E+01,     9.999997E-01,     1.001209E+00,     1.013007E+00,     1.315532E+00,     2.722483E+00,     2.726482E+00,     2.718771E+00,     2.711214E+00,     2.703900E+00,     2.696846E+00,     2.691173E+00,
  2.100000E+01,     9.999997E-01,     1.000984E+00,     1.010522E+00,     1.221441E+00,     2.714458E+00,     2.726892E+00,     2.719162E+00,     2.711564E+00,     2.704209E+00,     2.697124E+00,     2.691640E+00,
  2.150000E+01,     9.999997E-01,     1.000800E+00,     1.008551E+00,     1.158447E+00,     2.700322E+00,     2.727301E+00,     2.719568E+00,     2.711933E+00,     2.704540E+00,     2.697425E+00,     2.692172E+00,
  2.200000E+01,     9.999997E-01,     1.000648E+00,     1.006979E+00,     1.115712E+00,     2.675844E+00,     2.727699E+00,     2.719986E+00,     2.712317E+00,     2.704888E+00,     2.697746E+00,     2.692772E+00,
  2.250000E+01,     9.999997E-01,     1.000524E+00,     1.005717E+00,     1.086087E+00,     2.634269E+00,     2.728073E+00,     2.720414E+00,     2.712714E+00,     2.705252E+00,     2.698085E+00,     2.693448E+00,
  2.300000E+01,     9.999997E-01,     1.000422E+00,     1.004699E+00,     1.065079E+00,     2.565546E+00,     2.728400E+00,     2.720850E+00,     2.713122E+00,     2.705630E+00,     2.698441E+00,     2.694205E+00,
  2.350000E+01,     9.999997E-01,     1.000339E+00,     1.003876E+00,     1.049867E+00,     2.456545E+00,     2.728641E+00,     2.721291E+00,     2.713540E+00,     2.706019E+00,     2.698811E+00,     2.695051E+00,
  2.400000E+01,     9.999997E-01,     1.000271E+00,     1.003205E+00,     1.038649E+00,     2.294617E+00,     2.728732E+00,     2.721737E+00,     2.713965E+00,     2.706418E+00,     2.699195E+00,     2.695995E+00,
  2.450000E+01,     9.999997E-01,     1.000216E+00,     1.002659E+00,     1.030247E+00,     2.078225E+00,     2.728561E+00,     2.722185E+00,     2.714396E+00,     2.706825E+00,     2.699590E+00,     2.697045E+00,
  2.500000E+01,     9.999997E-01,     1.000171E+00,     1.002211E+00,     1.023869E+00,     1.831749E+00,     2.727938E+00,     2.722636E+00,     2.714832E+00,     2.707239E+00,     2.699996E+00,     2.698210E+00,
  2.550000E+01,     9.999997E-01,     1.000135E+00,     1.001843E+00,     1.018972E+00,     1.600785E+00,     2.726529E+00,     2.723086E+00,     2.715271E+00,     2.707659E+00,     2.700412E+00,     2.699499E+00,
  2.600000E+01,     9.999997E-01,     1.000106E+00,     1.001539E+00,     1.015175E+00,     1.419123E+00,     2.723762E+00,     2.723535E+00,     2.715714E+00,     2.708083E+00,     2.700837E+00,     2.700918E+00,
  2.650000E+01,     9.999997E-01,     1.000083E+00,     1.001288E+00,     1.012206E+00,     1.291215E+00,     2.718643E+00,     2.723980E+00,     2.716158E+00,     2.708511E+00,     2.701271E+00,     2.702474E+00,
  2.700000E+01,     9.999997E-01,     1.000064E+00,     1.001081E+00,     1.009867E+00,     1.205147E+00,     2.709471E+00,     2.724418E+00,     2.716604E+00,     2.708943E+00,     2.701712E+00,     2.704173E+00,
  2.750000E+01,     9.999997E-01,     1.000049E+00,     1.000908E+00,     1.008012E+00,     1.147434E+00,     2.693368E+00,     2.724844E+00,     2.717051E+00,     2.709376E+00,     2.702162E+00,     2.706014E+00,
  2.800000E+01,     9.999997E-01,     1.000038E+00,     1.000764E+00,     1.006532E+00,     1.108111E+00,     2.665593E+00,     2.725250E+00,     2.717498E+00,     2.709811E+00,     2.702620E+00,     2.707998E+00,
  2.850000E+01,     9.999997E-01,     1.000029E+00,     1.000644E+00,     1.005346E+00,     1.080717E+00,     2.618682E+00,     2.725620E+00,     2.717945E+00,     2.710247E+00,     2.703086E+00,     2.710119E+00,
  2.900000E+01,     9.999997E-01,     1.000021E+00,     1.000544E+00,     1.004389E+00,     1.061199E+00,     2.541783E+00,     2.725930E+00,     2.718392E+00,     2.710684E+00,     2.703562E+00,     2.712368E+00,
  2.950000E+01,     9.999997E-01,     1.000016E+00,     1.000460E+00,     1.003616E+00,     1.047008E+00,     2.421387E+00,     2.726138E+00,     2.718838E+00,     2.711122E+00,     2.704048E+00,     2.714732E+00,
  3.000000E+01,     9.999997E-01,     1.000011E+00,     1.000389E+00,     1.002987E+00,     1.036507E+00,     2.246219E+00,     2.726170E+00,     2.719283E+00,     2.711559E+00,     2.704545E+00,     2.717193E+00,
  3.050000E+01,     9.999997E-01,     1.000008E+00,     1.000330E+00,     1.002474E+00,     1.028618E+00,     2.019725E+00,     2.725900E+00,     2.719727E+00,     2.711996E+00,     2.705056E+00,     2.719731E+00,
  3.100000E+01,     9.999997E-01,     1.000006E+00,     1.000280E+00,     1.002055E+00,     1.022615E+00,     1.773017E+00,     2.725106E+00,     2.720168E+00,     2.712433E+00,     2.705583E+00,     2.722321E+00,
  3.150000E+01,     9.999997E-01,     1.000004E+00,     1.000238E+00,     1.001710E+00,     1.017996E+00,     1.552098E+00,     2.723407E+00,     2.720607E+00,     2.712869E+00,     2.706128E+00,     2.724935E+00,
  3.200000E+01,     9.999997E-01,     1.000002E+00,     1.000202E+00,     1.001427E+00,     1.014408E+00,     1.383903E+00,     2.720143E+00,     2.721042E+00,     2.713304E+00,     2.706695E+00,     2.727544E+00,
