alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  Execution time =    21.55 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,    -2.000000E+00,    -1.126851E-04,    -5.592807E-05,    -4.358849E-05,    -3.799829E-05,    -3.499839E-05,    -3.287542E-05,    -3.115084E-05,    -2.966811E-05,    -2.834837E-05,    -2.723848E-05,
  5.000000E-01,    -2.000000E+00,    -8.658970E-04,    -4.983663E-04,    -4.041934E-04,    -3.530691E-04,    -3.231756E-04,    -3.014603E-04,    -2.839093E-04,    -2.690452E-04,    -2.560482E-04,    -2.451671E-04,
  1.000000E+00,    -2.000000E+00,    -2.088062E-03,    -9.559851E-04,    -7.669290E-04,    -6.685046E-04,    -6.115409E-04,    -5.703256E-04,    -5.370608E-04,    -5.089042E-04,    -4.842928E-04,    -4.637008E-04,
  1.500000E+00,    -2.000000E+00,    -4.200381E-03,    -1.435962E-03,    -1.130624E-03,    -9.822910E-04,    -8.982020E-04,    -8.378247E-04,    -7.891807E-04,    -7.479992E-04,    -7.119779E-04,    -6.818670E-04,
  2.000000E+00,    -2.000000E+00,    -7.747106E-03,    -1.942437E-03,    -1.494449E-03,    -1.293090E-03,    -1.181944E-03,    -1.102945E-03,    -1.039434E-03,    -9.856352E-04,    -9.385173E-04,    -8.991836E-04,
  2.500000E+00,    -2.000000E+00,    -1.360157E-02,    -2.475374E-03,    -1.857219E-03,    -1.599714E-03,    -1.461762E-03,    -1.364877E-03,    -1.287171E-03,    -1.221287E-03,    -1.163481E-03,    -1.115314E-03,
  3.000000E+00,    -2.000000E+00,    -2.332495E-02,    -3.031101E-03,    -2.217242E-03,    -1.901000E-03,    -1.736759E-03,    -1.622917E-03,    -1.531835E-03,    -1.454507E-03,    -1.386504E-03,    -1.329981E-03,
  3.500000E+00,    -2.000000E+00,    -3.973770E-02,    -3.604145E-03,    -2.572368E-03,    -2.195803E-03,    -2.006122E-03,    -1.876444E-03,    -1.772936E-03,    -1.684904E-03,    -1.607270E-03,    -1.542948E-03,
  4.000000E+00,    -2.000000E+00,    -6.777267E-02,    -4.190191E-03,    -2.920173E-03,    -2.483024E-03,    -2.269131E-03,    -2.124919E-03,    -2.010053E-03,    -1.912137E-03,    -1.825501E-03,    -1.754011E-03,
  4.500000E+00,    -2.000000E+00,    -1.156048E-01,    -4.790174E-03,    -3.258191E-03,    -2.761661E-03,    -2.525176E-03,    -2.367899E-03,    -2.242834E-03,    -2.135921E-03,    -2.040961E-03,    -1.963004E-03,
  5.000000E+00,    -2.000000E+00,    -1.957046E-01,    -5.415791E-03,    -3.584191E-03,    -3.030865E-03,    -2.773772E-03,    -2.605033E-03,    -2.471004E-03,    -2.356028E-03,    -2.253459E-03,    -2.169797E-03,
  5.500000E+00,    -2.000000E+00,    -3.245008E-01,    -6.097425E-03,    -3.896431E-03,    -3.289997E-03,    -3.014581E-03,    -2.836081E-03,    -2.694366E-03,    -2.572289E-03,    -2.462849E-03,    -2.374299E-03,
  6.000000E+00,    -2.000000E+00,    -5.175758E-01,    -6.896471E-03,    -4.193877E-03,    -3.538674E-03,    -3.247415E-03,    -3.060909E-03,    -2.912801E-03,    -2.784595E-03,    -2.669030E-03,    -2.576461E-03,
  6.500000E+00,    -2.000000E+00,    -7.765306E-01,    -7.925867E-03,    -4.476357E-03,    -3.776808E-03,    -3.472256E-03,    -3.279496E-03,    -3.126274E-03,    -2.992897E-03,    -2.871949E-03,    -2.776277E-03,
  7.000000E+00,    -2.000000E+00,    -1.072138E+00,    -9.385548E-03,    -4.744669E-03,    -4.004624E-03,    -3.689252E-03,    -3.491930E-03,    -3.334829E-03,    -3.197208E-03,    -3.071599E-03,    -2.973784E-03,
  7.500000E+00,    -2.000000E+00,    -1.349204E+00,    -1.162450E-02,    -5.000630E-03,    -4.222656E-03,    -3.898716E-03,    -3.698408E-03,    -3.538586E-03,    -3.397598E-03,    -3.268018E-03,    -3.169063E-03,
  8.000000E+00,    -2.000000E+00,    -1.564491E+00,    -1.524949E-02,    -5.247139E-03,    -4.431730E-03,    -4.101116E-03,    -3.899225E-03,    -3.737737E-03,    -3.594189E-03,    -3.461288E-03,    -3.362238E-03,
  8.500000E+00,    -2.000000E+00,    -1.711338E+00,    -2.131392E-02,    -5.488301E-03,    -4.632930E-03,    -4.297059E-03,    -4.094769E-03,    -3.932539E-03,    -3.787157E-03,    -3.651528E-03,    -3.553478E-03,
  9.000000E+00,    -2.000000E+00,    -1.805670E+00,    -3.164023E-02,    -5.729727E-03,    -4.827541E-03,    -4.487268E-03,    -4.285502E-03,    -4.123307E-03,    -3.976719E-03,    -3.838895E-03,    -3.742996E-03,
  9.500000E+00,    -2.000000E+00,    -1.865774E+00,    -4.935158E-02,    -5.979177E-03,    -5.016996E-03,    -4.672560E-03,    -4.471953E-03,    -4.310405E-03,    -4.163133E-03,    -4.023578E-03,    -3.931048E-03,
  1.000000E+01,    -2.000000E+00,    -1.904790E+00,    -7.969085E-02,    -6.247834E-03,    -5.202813E-03,    -4.853813E-03,    -4.654699E-03,    -4.494234E-03,    -4.346688E-03,    -4.205794E-03,    -4.117931E-03,
  1.050000E+01,    -2.000000E+00,    -1.930846E+00,    -1.311113E-01,    -6.552651E-03,    -5.386536E-03,    -5.031941E-03,    -4.834347E-03,    -4.675225E-03,    -4.527698E-03,    -4.385781E-03,    -4.303988E-03,
  1.100000E+01,    -2.000000E+00,    -1.948760E+00,    -2.162370E-01,    -6.920578E-03,    -5.569685E-03,    -5.207863E-03,    -5.011521E-03,    -4.853825E-03,    -4.706496E-03,    -4.563797E-03,    -4.489607E-03,
  1.150000E+01,    -2.000000E+00,    -1.961407E+00,    -3.512693E-01,    -7.396031E-03,    -5.753719E-03,    -5.382473E-03,    -5.186844E-03,    -5.030491E-03,    -4.883424E-03,    -4.740111E-03,    -4.675220E-03,
  1.200000E+01,    -2.000000E+00,    -1.970541E+00,    -5.506312E-01,    -8.053984E-03,    -5.940018E-03,    -5.556623E-03,    -5.360923E-03,    -5.205674E-03,    -5.058828E-03,    -4.915000E-03,    -4.861309E-03,
  1.250000E+01,    -2.000000E+00,    -1.977265E+00,    -8.132782E-01,    -9.022903E-03,    -6.129899E-03,    -5.731096E-03,    -5.534336E-03,    -5.379816E-03,    -5.233052E-03,    -5.088745E-03,    -5.048412E-03,
  1.300000E+01,    -2.000000E+00,    -1.982296E+00,    -1.106978E+00,    -1.052483E-02,    -6.324657E-03,    -5.906595E-03,    -5.707621E-03,    -5.553337E-03,    -5.406430E-03,    -5.261623E-03,    -5.237126E-03,
  1.350000E+01,    -2.000000E+00,    -1.986109E+00,    -1.376755E+00,    -1.294546E-02,    -6.525678E-03,    -6.083733E-03,    -5.881266E-03,    -5.726632E-03,    -5.579282E-03,    -5.433909E-03,    -5.428120E-03,
  1.400000E+01,    -2.000000E+00,    -1.989033E+00,    -1.583325E+00,    -1.695621E-02,    -6.734629E-03,    -6.263026E-03,    -6.055705E-03,    -5.900061E-03,    -5.751909E-03,    -5.605866E-03,    -5.622142E-03,
  1.450000E+01,    -2.000000E+00,    -1.991296E+00,    -1.723274E+00,    -2.372509E-02,    -6.953793E-03,    -6.444896E-03,    -6.231312E-03,    -6.073949E-03,    -5.924588E-03,    -5.777747E-03,    -5.820041E-03,
  1.500000E+01,    -2.000000E+00,    -1.993063E+00,    -1.813123E+00,    -3.527422E-02,    -7.186636E-03,    -6.629670E-03,    -6.408397E-03,    -6.248582E-03,    -6.097572E-03,    -5.949790E-03,    -6.022784E-03,
  1.550000E+01,    -2.000000E+00,    -1.994451E+00,    -1.870511E+00,    -5.506347E-02,    -7.438782E-03,    -6.817595E-03,    -6.587213E-03,    -6.424201E-03,    -6.271086E-03,    -6.122217E-03,    -6.231479E-03,
