#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  #Execution time =   119.52 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     9.999999E-01,     2.609681E+00,     2.628584E+00,     2.636245E+00,     2.642516E+00,     2.647763E+00,     2.652377E+00,     2.656576E+00,     2.660463E+00,     2.664098E+00,     2.667520E+00,
  5.000000E-01,     9.999999E-01,     2.605347E+00,     2.628330E+00,     2.636251E+00,     2.642564E+00,     2.647814E+00,     2.652424E+00,     2.656616E+00,     2.660497E+00,     2.664127E+00,     2.667544E+00,
  1.000000E+00,     9.999999E-01,     2.594626E+00,     2.627737E+00,     2.636304E+00,     2.642712E+00,     2.647969E+00,     2.652565E+00,     2.656739E+00,     2.660603E+00,     2.664218E+00,     2.667623E+00,
  1.500000E+00,     9.999999E-01,     2.577641E+00,     2.626852E+00,     2.636410E+00,     2.642961E+00,     2.648225E+00,     2.652796E+00,     2.656941E+00,     2.660778E+00,     2.664370E+00,     2.667755E+00,
  2.000000E+00,     9.999999E-01,     2.554206E+00,     2.625736E+00,     2.636583E+00,     2.643312E+00,     2.648579E+00,     2.653117E+00,     2.657221E+00,     2.661022E+00,     2.664581E+00,     2.667939E+00,
  2.500000E+00,     9.999999E-01,     2.523520E+00,     2.624457E+00,     2.636838E+00,     2.643765E+00,     2.649032E+00,     2.653524E+00,     2.657577E+00,     2.661330E+00,     2.664849E+00,     2.668173E+00,
  3.000000E+00,     9.999999E-01,     2.483937E+00,     2.623072E+00,     2.637194E+00,     2.644325E+00,     2.649581E+00,     2.654016E+00,     2.658007E+00,     2.661703E+00,     2.665173E+00,     2.668455E+00,
  3.500000E+00,     9.999999E-01,     2.432846E+00,     2.621610E+00,     2.637668E+00,     2.644992E+00,     2.650224E+00,     2.654590E+00,     2.658507E+00,     2.662137E+00,     2.665550E+00,     2.668784E+00,
  4.000000E+00,     9.999999E-01,     2.366778E+00,     2.620055E+00,     2.638277E+00,     2.645768E+00,     2.650959E+00,     2.655242E+00,     2.659075E+00,     2.662630E+00,     2.665979E+00,     2.669159E+00,
  4.500000E+00,     9.999999E-01,     2.281882E+00,     2.618327E+00,     2.639030E+00,     2.646653E+00,     2.651782E+00,     2.655968E+00,     2.659707E+00,     2.663178E+00,     2.666456E+00,     2.669576E+00,
  5.000000E+00,     9.999999E-01,     2.174933E+00,     2.616257E+00,     2.639933E+00,     2.647646E+00,     2.652689E+00,     2.656765E+00,     2.660398E+00,     2.663778E+00,     2.666978E+00,     2.670033E+00,
  5.500000E+00,     9.999999E-01,     2.044955E+00,     2.613568E+00,     2.640983E+00,     2.648742E+00,     2.653675E+00,     2.657626E+00,     2.661146E+00,     2.664427E+00,     2.667543E+00,     2.670528E+00,
  6.000000E+00,     9.999999E-01,     1.895099E+00,     2.609842E+00,     2.642168E+00,     2.649937E+00,     2.654734E+00,     2.658547E+00,     2.661944E+00,     2.665120E+00,     2.668147E+00,     2.671057E+00,
  6.500000E+00,     9.999999E-01,     1.733793E+00,     2.604480E+00,     2.643465E+00,     2.651223E+00,     2.655859E+00,     2.659522E+00,     2.662788E+00,     2.665853E+00,     2.668787E+00,     2.671619E+00,
  7.000000E+00,     9.999999E-01,     1.573822E+00,     2.596655E+00,     2.644843E+00,     2.652590E+00,     2.657043E+00,     2.660544E+00,     2.663672E+00,     2.666621E+00,     2.669458E+00,     2.672209E+00,
  7.500000E+00,     9.999999E-01,     1.428824E+00,     2.585243E+00,     2.646255E+00,     2.654025E+00,     2.658277E+00,     2.661607E+00,     2.664591E+00,     2.667420E+00,     2.670157E+00,     2.672824E+00,
  8.000000E+00,     9.999999E-01,     1.308737E+00,     2.568737E+00,     2.647644E+00,     2.655515E+00,     2.659552E+00,     2.662702E+00,     2.665538E+00,     2.668245E+00,     2.670880E+00,     2.673460E+00,
  8.500000E+00,     9.999999E-01,     1.217018E+00,     2.545157E+00,     2.648933E+00,     2.657043E+00,     2.660857E+00,     2.663823E+00,     2.666509E+00,     2.669091E+00,     2.671622E+00,     2.674115E+00,
  9.000000E+00,     9.999999E-01,     1.151227E+00,     2.511962E+00,     2.650029E+00,     2.658592E+00,     2.662183E+00,     2.664961E+00,     2.667495E+00,     2.669953E+00,     2.672380E+00,     2.674785E+00,
  9.500000E+00,     9.999999E-01,     1.105854E+00,     2.466005E+00,     2.650813E+00,     2.660143E+00,     2.663518E+00,     2.666110E+00,     2.668493E+00,     2.670825E+00,     2.673149E+00,     2.675466E+00,
  1.000000E+01,     9.999999E-01,     1.075070E+00,     2.403643E+00,     2.651134E+00,     2.661676E+00,     2.664852E+00,     2.667260E+00,     2.669494E+00,     2.671704E+00,     2.673924E+00,     2.676155E+00,
  1.050000E+01,     9.999999E-01,     1.054149E+00,     2.321115E+00,     2.650799E+00,     2.663171E+00,     2.666174E+00,     2.668404E+00,     2.670493E+00,     2.672583E+00,     2.674702E+00,     2.676848E+00,
  1.100000E+01,     9.999999E-01,     1.039745E+00,     2.215400E+00,     2.649553E+00,     2.664605E+00,     2.667472E+00,     2.669535E+00,     2.671484E+00,     2.673458E+00,     2.675479E+00,     2.677541E+00,
  1.150000E+01,     9.999999E-01,     1.029645E+00,     2.085640E+00,     2.647061E+00,     2.665956E+00,     2.668738E+00,     2.670645E+00,     2.672462E+00,     2.674324E+00,     2.676251E+00,     2.678231E+00,
  1.200000E+01,     9.999999E-01,     1.022421E+00,     1.934890E+00,     2.642873E+00,     2.667200E+00,     2.669960E+00,     2.671727E+00,     2.673420E+00,     2.675176E+00,     2.677013E+00,     2.678916E+00,
  1.250000E+01,     9.999999E-01,     1.017155E+00,     1.771325E+00,     2.636380E+00,     2.668310E+00,     2.671130E+00,     2.672774E+00,     2.674353E+00,     2.676011E+00,     2.677762E+00,     2.679591E+00,
  1.300000E+01,     9.999999E-01,     1.013252E+00,     1.607585E+00,     2.626760E+00,     2.669258E+00,     2.672240E+00,     2.673780E+00,     2.675257E+00,     2.676823E+00,     2.678495E+00,     2.680253E+00,
  1.350000E+01,     9.999999E-01,     1.010315E+00,     1.457567E+00,     2.612899E+00,     2.670008E+00,     2.673282E+00,     2.674741E+00,     2.676127E+00,     2.677610E+00,     2.679208E+00,     2.680901E+00,
  1.400000E+01,     9.999999E-01,     1.008077E+00,     1.331904E+00,     2.593301E+00,     2.670519E+00,     2.674249E+00,     2.675650E+00,     2.676959E+00,     2.678368E+00,     2.679898E+00,     2.681531E+00,
  1.450000E+01,     9.999999E-01,     1.006355E+00,     1.234879E+00,     2.565984E+00,     2.670738E+00,     2.675136E+00,     2.676505E+00,     2.677749E+00,     2.679094E+00,     2.680563E+00,     2.682140E+00,
