#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  #Execution time =   119.52 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     9.999997E-01,     2.757987E+00,     2.787009E+00,     2.786166E+00,     2.780082E+00,     2.772901E+00,     2.765733E+00,     2.758873E+00,     2.752369E+00,     2.746199E+00,     2.740324E+00,
  5.000000E-01,     9.999997E-01,     2.759594E+00,     2.787187E+00,     2.786141E+00,     2.780023E+00,     2.772841E+00,     2.765679E+00,     2.758826E+00,     2.752329E+00,     2.746165E+00,     2.740294E+00,
  1.000000E+00,     9.999997E-01,     2.763165E+00,     2.787604E+00,     2.786058E+00,     2.779855E+00,     2.772673E+00,     2.765528E+00,     2.758696E+00,     2.752217E+00,     2.746068E+00,     2.740211E+00,
  1.500000E+00,     9.999997E-01,     2.767548E+00,     2.788188E+00,     2.785906E+00,     2.779578E+00,     2.772398E+00,     2.765283E+00,     2.758483E+00,     2.752033E+00,     2.745909E+00,     2.740073E+00,
  2.000000E+00,     9.999997E-01,     2.771173E+00,     2.788833E+00,     2.785669E+00,     2.779190E+00,     2.772018E+00,     2.764944E+00,     2.758189E+00,     2.751779E+00,     2.745690E+00,     2.739882E+00,
  2.500000E+00,     9.999997E-01,     2.772214E+00,     2.789410E+00,     2.785326E+00,     2.778688E+00,     2.771533E+00,     2.764514E+00,     2.757816E+00,     2.751457E+00,     2.745411E+00,     2.739640E+00,
  3.000000E+00,     9.999997E-01,     2.768689E+00,     2.789778E+00,     2.784855E+00,     2.778069E+00,     2.770946E+00,     2.763996E+00,     2.757366E+00,     2.751069E+00,     2.745075E+00,     2.739348E+00,
  3.500000E+00,     9.999997E-01,     2.758449E+00,     2.789792E+00,     2.784234E+00,     2.777331E+00,     2.770258E+00,     2.763391E+00,     2.756843E+00,     2.750617E+00,     2.744683E+00,     2.739007E+00,
  4.000000E+00,     9.999997E-01,     2.739073E+00,     2.789314E+00,     2.783442E+00,     2.776473E+00,     2.769473E+00,     2.762704E+00,     2.756249E+00,     2.750104E+00,     2.744239E+00,     2.738620E+00,
  4.500000E+00,     9.999997E-01,     2.707682E+00,     2.788218E+00,     2.782462E+00,     2.775493E+00,     2.768593E+00,     2.761938E+00,     2.755588E+00,     2.749534E+00,     2.743744E+00,     2.738189E+00,
