alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -2.000  temperature =  1.000  Execution time =    21.10 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,    -2.000000E+00,    -5.185638E-04,    -6.321944E-05,    -3.705624E-05,    -2.807799E-05,    -2.393170E-05,    -2.183489E-05,    -2.054298E-05,    -1.953904E-05,    -1.862364E-05,    -1.815268E-05,
  5.000000E-01,    -2.000000E+00,    -3.677807E-03,    -4.772263E-04,    -3.364230E-04,    -2.715048E-04,    -2.352707E-04,    -2.141133E-04,    -1.996761E-04,    -1.880740E-04,    -1.776763E-04,    -1.712587E-04,
  1.000000E+00,    -2.000000E+00,    -7.888286E-03,    -9.321986E-04,    -6.411244E-04,    -5.159886E-04,    -4.467115E-04,    -4.062678E-04,    -3.786601E-04,    -3.564894E-04,    -3.366507E-04,    -3.243871E-04,
  1.500000E+00,    -2.000000E+00,    -1.407465E-02,    -1.461801E-03,    -9.547735E-04,    -7.617861E-04,    -6.578264E-04,    -5.977450E-04,    -5.569608E-04,    -5.243059E-04,    -4.951279E-04,    -4.772398E-04,
  2.000000E+00,    -2.000000E+00,    -2.326083E-02,    -2.097941E-03,    -1.280489E-03,    -1.009129E-03,    -8.682611E-04,    -7.880838E-04,    -7.341369E-04,    -6.911329E-04,    -6.527722E-04,    -6.295985E-04,
  2.500000E+00,    -2.000000E+00,    -3.669388E-02,    -2.871272E-03,    -1.620630E-03,    -1.258103E-03,    -1.077660E-03,    -9.768569E-04,    -9.097882E-04,    -8.566205E-04,    -8.092860E-04,    -7.812832E-04,
  3.000000E+00,    -2.000000E+00,    -5.601185E-02,    -3.813092E-03,    -1.976668E-03,    -1.508588E-03,    -1.285635E-03,    -1.163648E-03,    -1.083537E-03,    -1.020442E-03,    -9.643941E-04,    -9.321390E-04,
  3.500000E+00,    -2.000000E+00,    -8.344607E-02,    -4.958902E-03,    -2.349200E-03,    -1.760226E-03,    -1.491751E-03,    -1.348046E-03,    -1.255020E-03,    -1.182289E-03,    -1.117838E-03,    -1.082033E-03,
  4.000000E+00,    -2.000000E+00,    -1.220341E-01,    -6.353904E-03,    -2.738076E-03,    -2.012428E-03,    -1.695526E-03,    -1.529641E-03,    -1.423893E-03,    -1.341871E-03,    -1.269377E-03,    -1.230854E-03,
  4.500000E+00,    -2.000000E+00,    -1.757881E-01,    -8.060724E-03,    -3.142663E-03,    -2.264386E-03,    -1.896431E-03,    -1.708027E-03,    -1.589826E-03,    -1.498914E-03,    -1.418784E-03,    -1.378516E-03,
