alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    24.58 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     7.074376E-09,    -1.012370E-03,    -5.793455E-04,    -3.400021E-04,    -2.107357E-04,    -1.386972E-04,    -9.611704E-05,    -6.940511E-05,    -5.176470E-05,    -3.963143E-05,    -3.118669E-05,
  5.000000E-01,     7.074376E-09,    -9.361590E-03,    -6.104877E-03,    -3.398325E-03,    -2.029205E-03,    -1.306059E-03,    -8.934870E-04,    -6.405496E-04,    -4.760027E-04,    -3.638147E-04,    -2.851208E-04,
  1.000000E+00,     7.074376E-09,    -1.130674E-02,    -1.112706E-02,    -6.337183E-03,    -3.801073E-03,    -2.450349E-03,    -1.677778E-03,    -1.203606E-03,    -8.949230E-04,    -6.843390E-04,    -5.364633E-04,
  1.500000E+00,     7.074376E-09,    -4.000921E-03,    -1.523806E-02,    -9.050007E-03,    -5.483762E-03,    -3.550194E-03,    -2.436757E-03,    -1.750950E-03,    -1.303477E-03,    -9.977068E-04,    -7.827114E-04,
  2.000000E+00,     7.074376E-09,     1.480596E-02,    -1.808465E-02,    -1.144048E-02,    -7.037914E-03,    -4.585549E-03,    -3.158836E-03,    -2.275309E-03,    -1.696828E-03,    -1.300555E-03,    -1.021453E-03,
  2.500000E+00,     7.074376E-09,     4.680656E-02,    -1.937474E-02,    -1.342588E-02,    -8.428562E-03,    -5.538179E-03,    -3.833300E-03,    -2.769883E-03,    -2.070413E-03,    -1.589693E-03,    -1.250390E-03,
  3.000000E+00,     7.074376E-09,     9.305379E-02,    -1.887370E-02,    -1.493920E-02,    -9.626092E-03,    -6.392082E-03,    -4.450518E-03,    -3.228456E-03,    -2.420013E-03,    -1.862142E-03,    -1.467365E-03,
  3.500000E+00,     7.074376E-09,     1.536434E-01,    -1.639194E-02,    -1.592997E-02,    -1.060692E-02,    -7.133840E-03,    -5.002121E-03,    -3.645496E-03,    -2.741809E-03,    -2.115176E-03,    -1.670385E-03,
  4.000000E+00,     7.074376E-09,     2.271178E-01,    -1.176555E-02,    -1.636377E-02,    -1.135387E-02,    -7.752871E-03,    -5.481157E-03,    -4.016247E-03,    -3.032440E-03,    -2.346352E-03,    -1.857644E-03,
  4.500000E+00,     7.074376E-09,     3.096697E-01,    -4.832397E-03,    -1.622040E-02,    -1.185623E-02,    -8.241585E-03,    -5.882189E-03,    -4.336793E-03,    -3.289043E-03,    -2.553541E-03,    -2.027545E-03,
