alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  Execution time =    24.58 s
vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.470662E-09,    -3.465557E-02,    -3.168382E-03,    -3.672190E-04,    -8.121830E-05,    -4.937678E-05,    -3.944450E-05,    -3.027681E-05,    -2.184087E-05,    -1.515753E-05,    -1.254363E-05,
  5.000000E-01,     1.470662E-09,    -3.755565E-02,    -3.321704E-03,    -3.820138E-04,    -8.299762E-05,    -4.960183E-05,    -3.944775E-05,    -3.023556E-05,    -2.178418E-05,    -1.509670E-05,    -1.252019E-05,
  1.000000E+00,     1.470662E-09,    -4.423584E-02,    -3.728400E-03,    -4.248595E-04,    -8.983463E-05,    -5.143752E-05,    -4.023813E-05,    -3.067114E-05,    -2.204904E-05,    -1.526939E-05,    -1.270530E-05,
  1.500000E+00,     1.470662E-09,    -5.512043E-02,    -4.407652E-03,    -4.966178E-04,    -1.015316E-04,    -5.470888E-05,    -4.169983E-05,    -3.150366E-05,    -2.257637E-05,    -1.562988E-05,    -1.306652E-05,
  2.000000E+00,     1.470662E-09,    -7.079360E-02,    -5.394380E-03,    -5.992895E-04,    -1.180356E-04,    -5.928937E-05,    -4.374868E-05,    -3.267802E-05,    -2.332756E-05,    -1.614953E-05,    -1.358469E-05,
  2.500000E+00,     1.470662E-09,    -9.184048E-02,    -6.742155E-03,    -7.361811E-04,    -1.394211E-04,    -6.507834E-05,    -4.631500E-05,    -3.415090E-05,    -2.427409E-05,    -1.680847E-05,    -1.424802E-05,
  3.000000E+00,     1.470662E-09,    -1.185650E-01,    -8.526793E-03,    -9.121837E-04,    -1.659015E-04,    -7.199189E-05,    -4.933486E-05,    -3.588380E-05,    -2.539197E-05,    -1.759102E-05,    -1.504876E-05,
  3.500000E+00,     1.470662E-09,    -1.505830E-01,    -1.085058E-02,    -1.134154E-03,    -1.978598E-04,    -7.996187E-05,    -5.274628E-05,    -3.783949E-05,    -2.665880E-05,    -1.848324E-05,    -1.598142E-05,
  4.000000E+00,     1.470662E-09,    -1.863503E-01,    -1.384691E-02,    -1.411398E-03,    -2.358947E-04,    -8.894006E-05,    -5.648842E-05,    -3.998063E-05,    -2.805236E-05,    -1.947174E-05,    -1.704180E-05,
  4.500000E+00,     1.470662E-09,    -2.227984E-01,    -1.768501E-02,    -1.756266E-03,    -2.808800E-04,    -9.890570E-05,    -6.050234E-05,    -4.226938E-05,    -2.955004E-05,    -2.054306E-05,    -1.822659E-05,
  5.000000E+00,     1.470662E-09,    -2.553894E-01,    -2.257405E-02,    -2.184879E-03,    -3.340364E-04,    -1.098753E-04,    -6.473296E-05,    -4.466779E-05,    -3.112882E-05,    -2.168354E-05,    -1.953329E-05,
  5.500000E+00,     1.470662E-09,    -2.789053E-01,    -2.876528E-02,    -2.718004E-03,    -3.970163E-04,    -1.219143E-04,    -6.913141E-05,    -4.713850E-05,    -3.276548E-05,    -2.287935E-05,    -2.096025E-05,
  6.000000E+00,     1.470662E-09,    -2.889847E-01,    -3.655027E-02,    -3.382124E-03,    -4.720058E-04,    -1.351502E-04,    -7.365786E-05,    -4.964564E-05,    -3.443695E-05,    -2.411665E-05,    -2.250684E-05,
  6.500000E+00,     1.470662E-09,    -2.837985E-01,    -4.625170E-02,    -4.210726E-03,    -5.618451E-04,    -1.497870E-04,    -7.828446E-05,    -5.215579E-05,    -3.612076E-05,    -2.538181E-05,    -2.417372E-05,
  7.000000E+00,     1.470662E-09,    -2.648456E-01,    -5.820176E-02,    -5.245853E-03,    -6.701739E-04,    -1.661221E-04,    -8.299834E-05,    -5.463903E-05,    -3.779549E-05,    -2.666170E-05,    -2.596309E-05,
  7.500000E+00,     1.470662E-09,    -2.362681E-01,    -7.270129E-02,    -6.539960E-03,    -8.016078E-04,    -1.845651E-04,    -8.780474E-05,    -5.706982E-05,    -3.944122E-05,    -2.794391E-05,    -2.787905E-05,
  8.000000E+00,     1.470662E-09,    -2.031452E-01,    -8.995188E-02,    -8.158093E-03,    -9.619545E-04,    -2.056591E-04,    -9.273022E-05,    -5.942793E-05,    -4.103996E-05,    -2.921702E-05,    -2.992789E-05,
