#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   137.28 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.000000E+00,     1.586162E+00,     1.617695E+00,     1.629709E+00,     1.636004E+00,     1.639847E+00,     1.642401E+00,     1.644191E+00,     1.645495E+00,     1.646470E+00,     1.647218E+00,
  5.000000E-01,     1.000000E+00,     1.588831E+00,     1.618179E+00,     1.629916E+00,     1.636117E+00,     1.639917E+00,     1.642448E+00,     1.644225E+00,     1.645519E+00,     1.646489E+00,     1.647232E+00,
  1.000000E+00,     1.000000E+00,     1.593862E+00,     1.619456E+00,     1.630475E+00,     1.636424E+00,     1.640107E+00,     1.642576E+00,     1.644315E+00,     1.645586E+00,     1.646540E+00,     1.647272E+00,
  1.500000E+00,     1.000000E+00,     1.600251E+00,     1.621442E+00,     1.631367E+00,     1.636916E+00,     1.640414E+00,     1.642782E+00,     1.644461E+00,     1.645693E+00,     1.646621E+00,     1.647335E+00,
  2.000000E+00,     1.000000E+00,     1.606761E+00,     1.624015E+00,     1.632561E+00,     1.637582E+00,     1.640830E+00,     1.643062E+00,     1.644661E+00,     1.645841E+00,     1.646733E+00,     1.647423E+00,
  2.500000E+00,     1.000000E+00,     1.611986E+00,     1.627026E+00,     1.634017E+00,     1.638406E+00,     1.641349E+00,     1.643413E+00,     1.644911E+00,     1.646026E+00,     1.646875E+00,     1.647533E+00,
  3.000000E+00,     1.000000E+00,     1.614369E+00,     1.630304E+00,     1.635688E+00,     1.639368E+00,     1.641960E+00,     1.643829E+00,     1.645208E+00,     1.646247E+00,     1.647043E+00,     1.647664E+00,
  3.500000E+00,     1.000000E+00,     1.612214E+00,     1.633670E+00,     1.637523E+00,     1.640446E+00,     1.642652E+00,     1.644304E+00,     1.645549E+00,     1.646501E+00,     1.647238E+00,     1.647816E+00,
  4.000000E+00,     1.000000E+00,     1.603733E+00,     1.636940E+00,     1.639467E+00,     1.641617E+00,     1.643413E+00,     1.644829E+00,     1.645929E+00,     1.646785E+00,     1.647456E+00,     1.647987E+00,
  4.500000E+00,     1.000000E+00,     1.587175E+00,     1.639927E+00,     1.641463E+00,     1.642856E+00,     1.644230E+00,     1.645398E+00,     1.646342E+00,     1.647095E+00,     1.647695E+00,     1.648175E+00,
  5.000000E+00,     1.000000E+00,     1.561093E+00,     1.642442E+00,     1.643460E+00,     1.644137E+00,     1.645089E+00,     1.646002E+00,     1.646785E+00,     1.647429E+00,     1.647953E+00,     1.648379E+00,
  5.500000E+00,     1.000000E+00,     1.524765E+00,     1.644287E+00,     1.645403E+00,     1.645436E+00,     1.645975E+00,     1.646633E+00,     1.647250E+00,     1.647782E+00,     1.648227E+00,     1.648596E+00,
  6.000000E+00,     1.000000E+00,     1.478684E+00,     1.645247E+00,     1.647245E+00,     1.646730E+00,     1.646876E+00,     1.647282E+00,     1.647732E+00,     1.648150E+00,     1.648514E+00,     1.648824E+00,
  6.500000E+00,     1.000000E+00,     1.424888E+00,     1.645078E+00,     1.648941E+00,     1.647994E+00,     1.647777E+00,     1.647940E+00,     1.648226E+00,     1.648530E+00,     1.648812E+00,     1.649062E+00,
  7.000000E+00,     1.000000E+00,     1.366818E+00,     1.643490E+00,     1.650449E+00,     1.649210E+00,     1.648667E+00,     1.648600E+00,     1.648727E+00,     1.648918E+00,     1.649118E+00,     1.649306E+00,
  7.500000E+00,     1.000000E+00,     1.308573E+00,     1.640130E+00,     1.651731E+00,     1.650359E+00,     1.649533E+00,     1.649252E+00,     1.649227E+00,     1.649309E+00,     1.649428E+00,     1.649556E+00,
  8.000000E+00,     1.000000E+00,     1.253880E+00,     1.634564E+00,     1.652750E+00,     1.651425E+00,     1.650365E+00,     1.649891E+00,     1.649723E+00,     1.649699E+00,     1.649741E+00,     1.649809E+00,
  8.500000E+00,     1.000000E+00,     1.205299E+00,     1.626262E+00,     1.653466E+00,     1.652394E+00,     1.651152E+00,     1.650508E+00,     1.650209E+00,     1.650086E+00,     1.650052E+00,     1.650062E+00,
  9.000000E+00,     1.000000E+00,     1.163995E+00,     1.614598E+00,     1.653839E+00,     1.653255E+00,     1.651888E+00,     1.651098E+00,     1.650680E+00,     1.650465E+00,     1.650359E+00,     1.650314E+00,
  9.500000E+00,     1.000000E+00,     1.129985E+00,     1.598866E+00,     1.653819E+00,     1.653999E+00,     1.652565E+00,     1.651655E+00,     1.651133E+00,     1.650833E+00,     1.650661E+00,     1.650563E+00,
  1.000000E+01,     1.000000E+00,     1.102587E+00,     1.578338E+00,     1.653349E+00,     1.654619E+00,     1.653178E+00,     1.652175E+00,     1.651562E+00,     1.651187E+00,     1.650954E+00,     1.650806E+00,
  1.050000E+01,     1.000000E+00,     1.080816E+00,     1.552371E+00,     1.652352E+00,     1.655107E+00,     1.653723E+00,     1.652653E+00,     1.651966E+00,     1.651525E+00,     1.651235E+00,     1.651042E+00,
  1.100000E+01,     1.000000E+00,     1.063650E+00,     1.520563E+00,     1.650730E+00,     1.655459E+00,     1.654196E+00,     1.653087E+00,     1.652341E+00,     1.651843E+00,     1.651504E+00,     1.651269E+00,
  1.150000E+01,     1.000000E+00,     1.050166E+00,     1.482963E+00,     1.648356E+00,     1.655667E+00,     1.654597E+00,     1.653474E+00,     1.652684E+00,     1.652140E+00,     1.651759E+00,     1.651486E+00,
  1.200000E+01,     1.000000E+00,     1.039588E+00,     1.440250E+00,     1.645065E+00,     1.655727E+00,     1.654924E+00,     1.653813E+00,     1.652994E+00,     1.652414E+00,     1.651996E+00,     1.651691E+00,
  1.250000E+01,     1.000000E+00,     1.031286E+00,     1.393801E+00,     1.640640E+00,     1.655627E+00,     1.655178E+00,     1.654102E+00,     1.653270E+00,     1.652663E+00,     1.652216E+00,     1.651883E+00,
  1.300000E+01,     1.000000E+00,     1.024760E+00,     1.345576E+00,     1.634810E+00,     1.655357E+00,     1.655359E+00,     1.654343E+00,     1.653511E+00,     1.652886E+00,     1.652417E+00,     1.652061E+00,
  1.350000E+01,     1.000000E+00,     1.019619E+00,     1.297784E+00,     1.627232E+00,     1.654901E+00,     1.655468E+00,     1.654535E+00,     1.653715E+00,     1.653083E+00,     1.652599E+00,     1.652224E+00,
